m_state_ab,m_div_nm,m_pp_nm,pp_id,29/04/2019,30/04/2019,1/05/2019,2/05/2019,3/05/2019,6/05/2019,7/05/2019,8/05/2019,9/05/2019,10/05/2019,11/05/2019,13/05/2019,14/05/2019,15/05/2019
ACT,Bean,Belconnen BEAN PPVC,93925,19,19,27,27,27,23,37,23,29,41,26,48,73,104
ACT,Bean,City BEAN PPVC,93922,94,86,84,82,75,106,102,106,116,130,70,199,242,328
ACT,Bean,Divisional Office (PREPOLL),93932,2,5,1,3,3,2,3,6,2,1,,7,9,6
ACT,Bean,Gungahlin BEAN PPVC,93929,,,,,,19,21,22,19,20,20,28,29,56
ACT,Bean,Parkes BEAN PPVC,97479,,,,,,,,,,,97,140,131,155
ACT,Bean,Tuggeranong BEAN PPVC,32704,509,579,586,668,693,1084,875,813,882,960,1484,1483,1615,1952
ACT,Bean,Woden BEAN PPVC,32705,459,477,465,491,464,670,555,475,584,643,842,877,1005,1201
ACT,Canberra,Belconnen CANBERRA PPVC,64583,276,221,238,267,247,340,285,289,318,341,421,498,571,740
ACT,Canberra,City CANBERRA PPVC,58708,509,409,388,506,447,520,445,433,504,504,744,784,906,1156
ACT,Canberra,Divisional Office (PREPOLL),30092,21,9,9,23,9,21,16,22,30,19,,36,32,38
ACT,Canberra,Gungahlin CANBERRA PPVC,65981,,,,,,168,108,111,120,142,204,250,244,292
ACT,Canberra,Parkes CANBERRA PPVC,65742,,,,,,,,,,,584,450,517,570
ACT,Canberra,Tuggeranong CANBERRA PPVC,93960,20,17,18,15,24,34,26,26,28,20,21,39,54,81
ACT,Canberra,Woden CANBERRA PPVC,93961,249,251,242,227,229,301,283,236,319,317,318,453,503,555
ACT,Fenner,Belconnen FENNER PPVC,32464,597,576,564,549,691,796,701,676,676,899,1070,1246,1473,1744
ACT,Fenner,City FENNER PPVC,32465,157,141,141,118,159,194,189,182,178,183,94,315,384,553
