2007 Federal Election Polling Places [Event:13745 Phase:FinalResults Generated:2008-09-03T12:53:32 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude
ACT,101,Canberra,8829,1,Barton,Telopea Park School,New South Wales Cres,,,BARTON,ACT,2600,-35.315100,149.134600
ACT,101,Canberra,11877,1,Bonython,Bonython Primary School,Hurtle Ave,,,BONYTHON,ACT,2905,-35.431846,149.082604
ACT,101,Canberra,11452,1,Calwell,Calwell High School,Casey Cres,,,CALWELL,ACT,2905,-35.440600,149.116100
ACT,101,Canberra,8794,1,Canberra Hospital,The Canberra Hospital,Building 2 Level 3 Yamba Dr,,,GARRAN,ACT,2605,-35.345300,149.100300
ACT,101,Canberra,8761,1,Chapman,Chapman Primary School,Perry Dr,,,CHAPMAN,ACT,2611,-35.356878,149.043079
ACT,101,Canberra,8763,1,Chisholm,Chisholm Primary School,Hambidge Cres,,,CHISHOLM,ACT,2905,-35.419056,149.122610
ACT,101,Canberra,31298,1,Conder,Charles Conder Primary School,Tom Roberts Ave,,,CONDER,ACT,2906,-35.464883,149.098449
ACT,101,Canberra,8764,1,Curtin,Curtin Primary School,Theodore St,,,CURTIN,ACT,2605,-35.331662,149.079926
ACT,101,Canberra,8766,1,Deakin,CGGS Junior School,Grey St,,,DEAKIN,ACT,2600,-35.312200,149.110900
ACT,101,Canberra,8767,1,Duffy,Duffy Primary School,Burrinjuck Cres,,,DUFFY,ACT,2611,-35.334219,149.033656
ACT,101,Canberra,8768,1,Fadden,Fadden Primary School,Hanlon Cres,,,FADDEN,ACT,2904,-35.404286,149.118175
ACT,101,Canberra,8769,1,Farrer,Farrer Primary School,Lambrigg St,,,FARRER,ACT,2607,-35.378739,149.107114
ACT,101,Canberra,8771,1,Gilmore,Gilmore Primary School,Heagney Cres,,,GILMORE,ACT,2905,-35.419488,149.135582
ACT,101,Canberra,12072,1,Gordon,Gordon Primary School,Knoke St,,,GORDON,ACT,2906,-35.455517,149.086978
ACT,101,Canberra,8772,1,Gowrie,Gowrie Primary School,Jeffries St,,,GOWRIE,ACT,2904,-35.413608,149.110565
ACT,101,Canberra,8817,1,Griffith,St Edmund's College,Canberra Ave,,,GRIFFITH,ACT,2603,-35.322200,149.144800
ACT,101,Canberra,8773,1,Holder,St Jude's Primary School,Mulley St,,,HOLDER,ACT,2611,-35.333800,149.049900
ACT,101,Canberra,8774,1,Hughes,Hughes Primary School,Kent St,,,HUGHES,ACT,2605,-35.332200,149.092200
ACT,101,Canberra,8884,1,Isabella Plains,Isabella Plains Primary School,Ellerston Ave,,,ISABELLA PLAINS,ACT,2905,-35.428716,149.089497
ACT,101,Canberra,8775,1,Kambah East,Village Creek Primary School,Kingsmill St,,,KAMBAH,ACT,2902,-35.385100,149.071900
ACT,101,Canberra,8776,1,Kambah North,Taylor Primary School,Marconi Cres,,,KAMBAH,ACT,2902,-35.378318,149.064261
ACT,101,Canberra,8777,1,Kambah South,Urambi Primary School,Snodgrass Cres,,,KAMBAH,ACT,2902,-35.394483,149.063336
ACT,101,Canberra,8778,1,Kambah West,St Thomas the Apostle Primary school,Boddington Cres,,,KAMBAH,ACT,2902,-35.380600,149.053300
ACT,101,Canberra,8779,1,Lyons,Lyons Primary School,Tarraleah Cres,,,LYONS,ACT,2606,-35.342070,149.076180
ACT,101,Canberra,8780,1,Mawson,Mawson Primary School,Ainsworth St,,,MAWSON,ACT,2607,-35.358505,149.097655
ACT,101,Canberra,8781,1,Monash,Monash Primary School,Corlette Cres,,,MONASH,ACT,2904,-35.414879,149.089411
ACT,101,Canberra,8782,1,Narrabundah,Narrabundah Primary School,Kootara Cres,,,NARRABUNDAH,ACT,2604,-35.329016,149.150698
ACT,101,Canberra,8783,1,Oaks Estate,Oaks Estate Community Hall,William St,,,OAKS ESTATE,ACT,2620,-35.342400,149.230600
