2019 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-22T21:50:10 Cycle:85365308-4295-4370-8e23-05d88256d096 Created:2019-05-22T21:48:30 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,318,Bean,33426,FAULKNER,Therese,1,N,N,AUP,Australian Progressives,2476,0,0,0,79,2555,2.94
ACT,318,Bean,32130,CHRISTIE,Jamie,2,N,N,IND,Independent,7067,0,0,0,219,7286,8.37
ACT,318,Bean,33391,RUSHTON,Ben,3,N,N,GAP,The Great Australian Party,838,0,0,0,29,867,1
ACT,318,Bean,32921,DONNELLY,Matt,4,N,N,LDP,Liberal Democrats,2265,0,0,0,67,2332,2.68
ACT,318,Bean,32261,HANLEY,Tony,5,N,N,UAPP,United Australia Party,1953,0,0,0,80,2033,2.34
ACT,318,Bean,33397,COCKS,Ed,6,N,N,LP,Liberal,26353,0,0,0,1164,27517,-5.66
ACT,318,Bean,32253,SMITH,David,7,N,N,ALP,Australian Labor Party,32398,0,0,0,999,33397,-6.01
ACT,318,Bean,32405,DAVIS,Johnathan,8,N,N,GRN,The Greens,10729,0,0,0,290,11019,-1
ACT,318,Bean,999,Informal,Informal,999,N,N,,Informal,4513,0,0,0,65,4578,2.01
ACT,101,Canberra,32830,BOHM,Tim,1,N,N,IND,Independent,3458,0,0,0,160,3618,4.67
ACT,101,Canberra,32233,PAYNE,Alicia,2,N,N,ALP,Australian Labor Party,30442,0,0,0,1088,31530,-1.78
ACT,101,Canberra,32402,HOLLO,Tim,3,N,N,GRN,The Greens,17465,0,0,0,463,17928,4.4
ACT,101,Canberra,32881,ZAKI,Mina,4,N,N,LP,Liberal,20597,0,0,0,1096,21693,-4.81
ACT,101,Canberra,32927,KNIGHT,Robert John,5,N,N,AUP,Australian Progressives,1491,0,0,0,77,1568,2.02
ACT,101,Canberra,32260,DE MAINE,Greg,6,N,N,UAPP,United Australia Party,1135,0,0,0,56,1191,1.54
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,1658,0,0,0,53,1711,-0.13
ACT,102,Fenner,32270,HODGSON,Glen J,1,N,N,UAPP,United Australia Party,3036,0,0,0,151,3187,4
ACT,102,Fenner,32888,RATLHAGANE,Kagiso,2,N,N,AUP,Australian Progressives,1474,0,0,0,74,1548,1.94
ACT,102,Fenner,32406,BRADDOCK,Andrew,3,N,N,GRN,The Greens,10829,0,0,0,323,11152,1
ACT,102,Fenner,32258,LEIGH,Andrew,4,N,Y,ALP,Australian Labor Party,34964,0,0,0,1157,36121,-0.63
ACT,102,Fenner,32861,CASTLEY,Leanne,5,N,N,LP,Liberal,26391,0,0,0,1242,27633,1.41
ACT,102,Fenner,999,Informal,Informal,999,N,N,,Informal,2357,0,0,0,44,2401,-0.07
NSW,103,Banks,33334,COLEMAN,David,1,N,Y,LP,Liberal,39502,0,0,0,2569,42071,7.82
NSW,103,Banks,32640,DRAGONE,Gianluca,2,N,N,GRN,The Greens,4284,0,0,0,139,4423,-0.38
NSW,103,Banks,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,28153,0,0,0,1278,29431,-3.77
NSW,103,Banks,32783,WRIGHT,Reginald Keith,4,N,N,UAPP,United Australia Party,1651,0,0,0,92,1743,2.14
NSW,103,Banks,33215,THAKUR,Anjali,5,N,N,AJP,Animal Justice Party,1317,0,0,0,89,1406,0
