2016 Federal Election House of Representatives Informal Votes By Division [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:05 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
DivisionID,DivisionNm,StateAb,FormalVotes,InformalVotes,TotalVotes,InformalPercent,InformalSwing
128,Lindsay,NSW,89276,11913,101189,11.77,3.56
107,Blaxland,NSW,79885,10429,90314,11.55,-1.81
251,Watson,NSW,83236,9924,93160,10.65,-3.24
119,Fowler,NSW,84770,9850,94620,10.41,-3.14
315,McMahon,NSW,86038,9441,95479,9.89,-2.09
140,Parramatta,NSW,82022,8367,90389,9.26,-1.19
231,Murray,VIC,88016,8530,96546,8.84,2.51
153,Werriwa,NSW,89361,8581,97942,8.76,-4.88
302,Longman,QLD,88068,8217,96285,8.53,3.46
104,Barton,NSW,87702,7991,95693,8.35,-3.56
111,Chifley,NSW,85569,7785,93354,8.34,-4.95
126,Hunter,NSW,96466,8249,104715,7.88,1.26
306,Lingiari,NT,42875,3650,46525,7.85,0.42
199,Batman,VIC,90101,7601,97702,7.78,2.02
122,Greenway,NSW,89083,7282,96365,7.56,-2.42
168,Leichhardt,QLD,88808,7012,95820,7.32,1.87
135,New England,NSW,95004,7196,102200,7.04,1.03
307,Solomon,NT,54585,4080,58665,6.95,1.65
103,Banks,NSW,89832,6656,96488,6.9,-2.19
165,Herbert,QLD,88337,6525,94862,6.88,0.95
213,Gippsland,VIC,89292,6588,95880,6.87,0.88
161,Fisher,QLD,83765,6157,89922,6.85,1.04
234,Wills,VIC,94108,6807,100915,6.75,1.22
121,Grayndler,NSW,87922,6343,94265,6.73,0.48
131,Macarthur,NSW,89912,6379,96291,6.62,-2.95
203,Calwell,VIC,89848,6286,96134,6.54,-1.38
218,Indi,VIC,90137,6299,96436,6.53,1.44
133,Macquarie,NSW,91452,6389,97841,6.53,0.9
210,Dunkley,VIC,89293,6151,95444,6.44,1.65
118,Farrer,NSW,96579,6602,103181,6.4,-0.21
117,Eden-Monaro,NSW,94469,6399,100868,6.34,0.81
160,Fairfax,QLD,92463,6146,98609,6.23,1.11
311,Flynn,QLD,87146,5755,92901,6.19,0.95
151,Warringah,NSW,86666,5611,92277,6.08,0.68
149,Sydney,NSW,87900,5603,93503,5.99,-0.43
226,McEwen,VIC,113200,7189,120389,5.97,1.35
239,Forrest,WA,84691,5269,89960,5.86,0.27
189,Port Adelaide,SA,96009,5927,101936,5.81,-0.39
115,Dobell,NSW,96674,5956,102630,5.8,-1.68
176,Rankin,QLD,85423,5225,90648,5.76,-0.8
227,McMillan,VIC,100921,6115,107036,5.71,-0.4
304,Blair,QLD,85187,5120,90307,5.67,0
223,La Trobe,VIC,92597,5454,98051,5.56,1.17
170,Maranoa,QLD,90049,5269,95318,5.53,1.14
237,Cowan,WA,81496,4712,86208,5.47,-0.09
150,Whitlam,NSW,98441,5628,104069,5.41,-2.6
191,Wakefield,SA,95933,5470,101403,5.39,-0.3
125,Hume,NSW,94928,5311,100239,5.3,-1.42
198,Ballarat,VIC,97707,5461,103168,5.29,0.63
132,Mackellar,NSW,94012,5223,99235,5.26,-0.49
139,Parkes,NSW,93547,5170,98717,5.24,-1.31
193,Braddon,TAS,64672,3568,68240,5.23,1.68
109,Calare,NSW,100278,5490,105768,5.19,-0.94
112,Cook,NSW,91385,4983,96368,5.17,-1.95
113,Cowper,NSW,103460,5613,109073,5.15,-0.37
152,Wentworth,NSW,84092,4549,88641,5.13,-0.6
232,Scullin,VIC,95678,5164,100842,5.12,-1.31
105,Bennelong,NSW,92231,4942,97173,5.09,-2.43
309,Gorton,VIC,98105,5253,103358,5.08,-2.03
162,Forde,QLD,83910,4486,88396,5.07,-2.2
146,Robertson,NSW,95277,5042,100319,5.03,-0.9
229,Menzies,VIC,87257,4615,91872,5.02,0.72
207,Corangamite,VIC,98417,5181,103598,5,0.57
216,Holt,VIC,99630,5243,104873,5,-1.08
127,Kingsford Smith,NSW,92134,4849,96983,5,-3.63
178,Wide Bay,QLD,89889,4728,94617,5,0.32
144,Reid,NSW,90597,4748,95345,4.98,-3.67
249,Paterson,NSW,100068,5143,105211,4.89,-1.31
114,Cunningham,NSW,96924,4933,101857,4.84,-2.2
137,North Sydney,NSW,92477,4623,97100,4.76,-0.59
136,Newcastle,NSW,99235,4939,104174,4.74,-1.56
148,Shortland,NSW,98038,4845,102883,4.71,-1.58
201,Bruce,VIC,83012,4064,87076,4.67,-0.83
224,Mallee,VIC,87466,4269,91735,4.65,-2.26
225,Maribyrnong,VIC,93834,4568,98402,4.64,-1.54
208,Corio,VIC,94435,4561,98996,4.61,-0.69
250,Riverina,NSW,98920,4784,103704,4.61,-1.78
200,Bendigo,VIC,97503,4705,102208,4.6,-1.11
130,Lyne,NSW,99654,4797,104451,4.59,-1.11
166,Hinkler,QLD,88669,4258,92927,4.58,-0.34
158,Dawson,QLD,90300,4309,94609,4.55,-0.3
244,Pearce,WA,87032,4150,91182,4.55,-1.18
222,Lalor,VIC,106760,5080,111840,4.54,-2.09
159,Fadden,QLD,89404,4243,93647,4.53,-1.26
134,Mitchell,NSW,91198,4308,95506,4.51,-1.9
171,McPherson,QLD,88726,4151,92877,4.47,-0.74
172,Moncrieff,QLD,85960,4011,89971,4.46,-1.27
187,Makin,SA,94070,4366,98436,4.44,-0.44
196,Lyons,TAS,68515,3174,71689,4.43,-0.03
317,Burt,WA,84358,3903,88261,4.42,-1.3
124,Hughes,NSW,93776,4314,98090,4.4,-1.88
182,Boothby,SA,95288,4374,99662,4.39,0.91
316,Wright,QLD,88318,3980,92298,4.31,-0.72
180,Barker,SA,94445,4228,98673,4.28,-1.1
236,Canning,WA,84494,3743,88237,4.24,-1.09
230,Melbourne Ports,VIC,84809,3756,88565,4.24,0.42
235,Brand,WA,81718,3602,85320,4.22,-1.59
106,Berowra,NSW,94017,4082,98099,4.16,-1.44
246,Stirling,WA,82891,3587,86478,4.15,-1.62
185,Hindmarsh,SA,98032,4232,102264,4.14,-0.74
120,Gilmore,NSW,103169,4442,107611,4.13,-1.08
173,Moreton,QLD,84948,3641,88589,4.11,-1.51
163,Griffith,QLD,91983,3897,95880,4.06,-0.71
305,Hasluck,WA,81251,3425,84676,4.04,-1.53
212,Gellibrand,VIC,92417,3868,96285,4.02,-1.6
175,Petrie,QLD,92793,3886,96679,4.02,-1.18
174,Oxley,QLD,83361,3484,86845,4.01,-2.91
240,Fremantle,WA,84876,3535,88411,4,-2.51
197,Aston,VIC,85586,3525,89111,3.96,-0.57
192,Bass,TAS,66175,2729,68904,3.96,-0.22
233,Wannon,VIC,89255,3681,92936,3.96,-0.03
312,Durack,WA,76689,3122,79811,3.91,-2.49
183,Grey,SA,89876,3619,93495,3.87,-1.53
217,Hotham,VIC,87164,3511,90675,3.87,-0.96
138,Page,NSW,104612,4181,108793,3.84,-1.02
167,Kennedy,QLD,86010,3418,89428,3.82,-1.61
155,Bowman,QLD,92325,3654,95979,3.81,-0.7
243,O'Connor,WA,86934,3439,90373,3.81,-2.12
