2016 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:43 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8829,Barton,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1241,-2.19
ACT,101,Canberra,8829,Barton,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,991,2.19
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,673,-0.57
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,446,0.57
ACT,101,Canberra,65504,BLV Canberra PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,17,-15.15
ACT,101,Canberra,65504,BLV Canberra PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,16,15.15
ACT,101,Canberra,11877,Bonython,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1163,2.1
ACT,101,Canberra,11877,Bonython,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,691,-2.11
ACT,101,Canberra,8802,Braddon (Canberra),28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,840,-5.17
ACT,101,Canberra,8802,Braddon (Canberra),28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,409,5.17
ACT,101,Canberra,11452,Calwell,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1357,2.46
ACT,101,Canberra,11452,Calwell,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,908,-2.46
ACT,101,Canberra,8806,Campbell,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,992,2.2
ACT,101,Canberra,8806,Campbell,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,859,-2.2
ACT,101,Canberra,8761,Chapman,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1556,1.94
ACT,101,Canberra,8761,Chapman,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,1077,-1.94
ACT,101,Canberra,8763,Chisholm,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1014,4.64
