2019 Federal Election House of Representatives Two Candidate Preferred By Candidate By Vote Type [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:58 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,318,Bean,33397,COCKS,Ed,6,N,N,LP,Liberal,35518,0,0,0,0,35518,1.08
ACT,318,Bean,32253,SMITH,David,7,N,N,ALP,Australian Labor Party,48591,0,0,0,0,48591,-1.08
ACT,101,Canberra,32233,PAYNE,Alicia,2,N,N,ALP,Australian Labor Party,50241,0,0,0,0,50241,4.41
ACT,101,Canberra,32881,ZAKI,Mina,4,N,N,LP,Liberal,24353,0,0,0,0,24353,-4.41
ACT,102,Fenner,32258,LEIGH,Andrew,4,N,Y,ALP,Australian Labor Party,46804,0,0,0,0,46804,-0.81
ACT,102,Fenner,32861,CASTLEY,Leanne,5,N,N,LP,Liberal,29892,0,0,0,0,29892,0.81
NSW,103,Banks,33334,COLEMAN,David,1,N,Y,LP,Liberal,43727,0,0,0,918,44645,5.4
NSW,103,Banks,32664,GAMBIAN,Chris,3,N,N,ALP,Labor,33399,0,0,0,495,33894,-5.4
NSW,104,Barton,32681,BURNEY,Linda,1,N,Y,ALP,Labor,44647,0,0,0,0,44647,0.88
NSW,104,Barton,33269,SHRESTHA,Pramej,2,N,N,LP,Liberal,30798,0,0,0,0,30798,-0.88
NSW,105,Bennelong,32637,OWLER,Brian,1,N,N,ALP,Labor,35172,0,0,0,1193,36365,2.86
NSW,105,Bennelong,33140,ALEXANDER,John,3,N,Y,LP,Liberal,45247,0,0,0,2677,47924,-2.86
NSW,106,Berowra,33171,LEESER,Julian,2,N,Y,LP,Liberal,48383,0,0,0,1432,49815,-0.92
NSW,106,Berowra,32652,GOMPERTZ,Katie,8,N,N,ALP,Labor,25704,0,0,0,496,26200,0.92
NSW,107,Blaxland,33320,GUNEY,Oz,2,N,N,LP,Liberal,22971,0,0,0,0,22971,3.94
NSW,107,Blaxland,32645,CLARE,Jason,3,N,Y,ALP,Labor,43680,0,0,0,0,43680,-3.94
NSW,108,Bradfield,33227,FLETCHER,Paul,2,N,Y,LP,Liberal,53305,0,0,0,1491,54796,-4.21
NSW,108,Bradfield,32658,HAVILAND,Chris,5,N,N,ALP,Labor,26774,0,0,0,426,27200,4.21
NSW,109,Calare,32711,JENNINGS,Jess,3,N,N,ALP,Labor,756,0,0,0,0,756,-4.68
NSW,109,Calare,32494,GEE,Andrew,5,N,Y,NP,The Nationals,1500,0,0,0,0,1500,4.68
NSW,111,Chifley,33181,CHETTIPALLY,Livingston,5,N,N,LP,Liberal,28987,0,0,0,0,28987,6.41
NSW,111,Chifley,32680,HUSIC,Ed,6,N,Y,ALP,Labor,48884,0,0,0,0,48884,-6.41
NSW,112,Cook,33135,MORRISON,Scott,1,N,Y,LP,Liberal,55389,0,0,0,1103,56492,4.04
NSW,112,Cook,32745,O'BRIEN,Simon,3,N,N,ALP,Labor,24526,0,0,0,347,24873,-4.04
NSW,113,Cowper,32446,CONAGHAN,Pat,2,N,N,NP,The Nationals,54610,0,0,0,0,54610,2.7
NSW,113,Cowper,29558,OAKESHOTT,Robert,5,N,N,IND,Independent,40762,0,0,0,0,40762,-2.7
NSW,114,Cunningham,33210,ATLEE,Chris,1,N,N,LP,Liberal,32109,0,0,0,607,32716,-0.25
NSW,114,Cunningham,32636,BIRD,Sharon,3,N,Y,ALP,Labor,56268,0,0,0,811,57079,0.25
NSW,115,Dobell,33134,PILON,Jilly,3,N,N,LP,Liberal,42432,0,0,0,1287,43719,3.17
NSW,115,Dobell,32669,McBRIDE,Emma,5,N,Y,ALP,Labor,45656,0,0,0,1026,46682,-3.17
NSW,117,Eden-Monaro,32831,KELLY,Mike,1,N,Y,ALP,Labor,44135,0,0,0,1198,45333,-1.97
NSW,117,Eden-Monaro,33136,KOTVOJS,Fiona,2,N,N,LP,Liberal,41905,0,0,0,1713,43618,1.97
