2019 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:54 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
ACT,318,Bean,0,,,First Preferences,,0,32253,ALP,Australian Labor Party,SMITH,David,7,35447,54.81
ACT,318,Bean,0,,,First Preferences,,0,33397,LP,Liberal,COCKS,Ed,6,29223,45.19
ACT,318,Bean,33426,AUP,Australian Progressives,FAULKNER,Therese,1,32253,ALP,Australian Labor Party,SMITH,David,7,1723,63.3
ACT,318,Bean,33426,AUP,Australian Progressives,FAULKNER,Therese,1,33397,LP,Liberal,COCKS,Ed,6,999,36.7
ACT,318,Bean,32130,IND,Independent,CHRISTIE,Jamie,2,32253,ALP,Australian Labor Party,SMITH,David,7,4402,57.3
ACT,318,Bean,32130,IND,Independent,CHRISTIE,Jamie,2,33397,LP,Liberal,COCKS,Ed,6,3281,42.7
ACT,318,Bean,33391,GAP,The Great Australian Party,RUSHTON,Ben,3,32253,ALP,Australian Labor Party,SMITH,David,7,353,38
ACT,318,Bean,33391,GAP,The Great Australian Party,RUSHTON,Ben,3,33397,LP,Liberal,COCKS,Ed,6,576,62
ACT,318,Bean,32921,LDP,Liberal Democrats,DONNELLY,Matt,4,32253,ALP,Australian Labor Party,SMITH,David,7,315,12.4
ACT,318,Bean,32921,LDP,Liberal Democrats,DONNELLY,Matt,4,33397,LP,Liberal,COCKS,Ed,6,2225,87.6
ACT,318,Bean,32261,UAPP,United Australia Party,HANLEY,Tony,5,32253,ALP,Australian Labor Party,SMITH,David,7,680,30.53
ACT,318,Bean,32261,UAPP,United Australia Party,HANLEY,Tony,5,33397,LP,Liberal,COCKS,Ed,6,1547,69.47
ACT,318,Bean,32405,GRN,The Greens,DAVIS,Johnathan,8,32253,ALP,Australian Labor Party,SMITH,David,7,10535,86.58
ACT,318,Bean,32405,GRN,The Greens,DAVIS,Johnathan,8,33397,LP,Liberal,COCKS,Ed,6,1633,13.42
ACT,101,Canberra,0,,,First Preferences,,0,32233,ALP,Australian Labor Party,PAYNE,Alicia,2,34989,59.25
ACT,101,Canberra,0,,,First Preferences,,0,32881,LP,Liberal,ZAKI,Mina,4,24063,40.75
ACT,101,Canberra,32830,IND,Independent,BOHM,Tim,1,32233,ALP,Australian Labor Party,PAYNE,Alicia,2,2461,60.59
ACT,101,Canberra,32830,IND,Independent,BOHM,Tim,1,32881,LP,Liberal,ZAKI,Mina,4,1601,39.41
ACT,101,Canberra,32402,GRN,The Greens,HOLLO,Tim,3,32233,ALP,Australian Labor Party,PAYNE,Alicia,2,18772,93.19
ACT,101,Canberra,32402,GRN,The Greens,HOLLO,Tim,3,32881,LP,Liberal,ZAKI,Mina,4,1372,6.81
ACT,101,Canberra,32927,AUP,Australian Progressives,KNIGHT,Robert John,5,32233,ALP,Australian Labor Party,PAYNE,Alicia,2,1363,76.4
ACT,101,Canberra,32927,AUP,Australian Progressives,KNIGHT,Robert John,5,32881,LP,Liberal,ZAKI,Mina,4,421,23.6
ACT,101,Canberra,32260,UAPP,United Australia Party,DE MAINE,Greg,6,32233,ALP,Australian Labor Party,PAYNE,Alicia,2,376,27.63
ACT,101,Canberra,32260,UAPP,United Australia Party,DE MAINE,Greg,6,32881,LP,Liberal,ZAKI,Mina,4,985,72.37
ACT,102,Fenner,0,,,First Preferences,,0,32258,ALP,Australian Labor Party,LEIGH,Andrew,4,38864,56.42
ACT,102,Fenner,0,,,First Preferences,,0,32861,LP,Liberal,CASTLEY,Leanne,5,30025,43.58
ACT,102,Fenner,32270,UAPP,United Australia Party,HODGSON,Glen J,1,32258,ALP,Australian Labor Party,LEIGH,Andrew,4,1464,41.48
ACT,102,Fenner,32270,UAPP,United Australia Party,HODGSON,Glen J,1,32861,LP,Liberal,CASTLEY,Leanne,5,2065,58.52
ACT,102,Fenner,32888,AUP,Australian Progressives,RATLHAGANE,Kagiso,2,32258,ALP,Australian Labor Party,LEIGH,Andrew,4,1202,69.76
ACT,102,Fenner,32888,AUP,Australian Progressives,RATLHAGANE,Kagiso,2,32861,LP,Liberal,CASTLEY,Leanne,5,521,30.24
ACT,102,Fenner,32406,GRN,The Greens,BRADDOCK,Andrew,3,32258,ALP,Australian Labor Party,LEIGH,Andrew,4,10932,87.51
ACT,102,Fenner,32406,GRN,The Greens,BRADDOCK,Andrew,3,32861,LP,Liberal,CASTLEY,Leanne,5,1560,12.49
NSW,103,Banks,0,,,First Preferences,,0,32664,ALP,Labor,GAMBIAN,Chris,3,33341,41.65
NSW,103,Banks,0,,,First Preferences,,0,33334,LP,Liberal,COLEMAN,David,1,46709,58.35
NSW,103,Banks,32640,GRN,The Greens,DRAGONE,Gianluca,2,32664,ALP,Labor,GAMBIAN,Chris,3,4437,83.11
