2016 Federal Election House of Representatives Two Party Preferred By Division By Vote Type [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:52 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition OrdinaryVotes,Liberal/National Coalition OrdinaryPercentage,Australian Labor Party OrdinaryVotes,Australian Labor Party OrdinaryPercentage,Liberal/National Coalition AbsentVotes,Liberal/National Coalition AbsentPercentage,Australian Labor Party AbsentVotes,Australian Labor Party AbsentPercentage,Liberal/National Coalition ProvisionalVotes,Liberal/National Coalition ProvisionalPercentage,Australian Labor Party ProvisionalVotes,Australian Labor Party ProvisionalPercentage,Liberal/National Coalition PostalVotes,Liberal/National Coalition PostalPercentage,Australian Labor Party PostalVotes,Australian Labor Party PostalPercentage,TotalVotes,Liberal/National Coalition DeclarationPrePollVotes,Liberal/National Coalition DeclarationPrePollPercentage,Australian Labor Party DeclarationPrePollVotes,Australian Labor Party DeclarationPrePollPercentage
Adelaide,179,SA,,34506,45.09,42018,54.91,2829,42.94,3760,57.06,250,38.23,404,61.77,4156,49.54,4234,50.46,95544,1584,46.77,1803,53.23
Aston,197,VIC,,40256,58.11,29021,41.89,1806,50.14,1796,49.86,147,52.13,135,47.87,6135,65.07,3293,34.93,85586,1798,59.99,1199,40.01
Ballarat,198,VIC,,35517,43.08,46935,56.92,1240,38.33,1995,61.67,263,36.08,466,63.92,3422,41.29,4866,58.71,97707,1263,42.06,1740,57.94
Banks,103,NSW,,38743,51.38,36655,48.62,1687,44.49,2105,55.51,181,42.79,242,57.21,3994,57.46,2957,42.54,89832,1605,49.11,1663,50.89
Barker,180,SA,LP,53138,64.84,28810,35.16,1709,58.99,1188,41.01,141,60.52,92,39.48,4698,71.53,1870,28.47,94445,1880,67.17,919,32.83
Barton,104,NSW,,30513,41.64,42767,58.36,1957,37.49,3263,62.51,170,36.72,293,63.28,2591,45.75,3072,54.25,87702,1340,43.56,1736,56.44
Bass,192,TAS,,24748,43.15,32599,56.85,773,43.21,1016,56.79,78,36.79,134,63.21,2505,49.59,2546,50.41,66175,952,53.6,824,46.4
Batman,199,VIC,ALP,19329,27.27,51543,72.73,1563,30.08,3633,69.92,70,22.8,237,77.2,3049,33.68,6003,66.32,90101,1445,30.92,3229,69.08
Bendigo,200,VIC,,37752,46.27,43845,53.73,1322,41.62,1854,58.38,101,39.61,154,60.39,4091,47.24,4569,52.76,97503,1839,48.2,1976,51.8
Bennelong,105,NSW,,45160,59.82,30334,40.18,2172,53.3,1903,46.7,157,52.16,144,47.84,5444,64.16,3041,35.84,92231,2144,55.31,1732,44.69
Berowra,106,NSW,,52061,66.51,26211,33.49,2734,62.28,1656,37.72,147,61.25,93,38.75,5629,70.5,2355,29.5,94017,1899,60.65,1232,39.35
Blair,304,QLD,,27903,40.57,40881,59.43,1374,38.6,2186,61.4,88,31.54,191,68.46,4585,45.17,5566,54.83,85187,1079,44.72,1334,55.28
Blaxland,107,NSW,,20017,29.48,47872,70.52,1486,33.63,2933,66.37,105,20.55,406,79.45,1861,39.57,2842,60.43,79885,909,38.47,1454,61.53
Bonner,310,QLD,,36354,52.62,32731,47.38,2159,46.47,2487,53.53,101,39,158,61,8148,59.6,5524,40.4,89909,1240,55.18,1007,44.82
Boothby,182,SA,,42701,53.72,36787,46.28,2555,46.95,2887,53.05,183,40.04,274,59.96,4459,58.01,3228,41.99,95288,1082,48.87,1132,51.13
Bowman,155,QLD,,44738,57.05,33680,42.95,1366,52.18,1252,47.82,73,50.34,72,49.66,4998,58.68,3520,41.32,92325,1515,57.69,1111,42.31
Braddon,193,TAS,,27022,47.29,30123,52.71,598,47.92,650,52.08,61,37.42,102,62.58,2263,52.51,2047,47.49,64672,969,53.65,837,46.35
Bradfield,108,NSW,,54241,71.13,22017,28.87,2703,63.7,1540,36.3,209,71.09,85,28.91,7011,75.07,2328,24.93,93634,2349,67.11,1151,32.89
Brand,235,WA,,25138,37.66,41614,62.34,1757,39.63,2677,60.37,125,29.83,294,70.17,2811,43.87,3597,56.13,81718,1685,45.48,2020,54.52
Brisbane,156,QLD,,39224,55.36,31625,44.64,3595,52.29,3280,47.71,185,49.47,189,50.53,7363,61.69,4572,38.31,94225,2326,55.49,1866,44.51
Bruce,201,VIC,,28985,45.26,35060,54.74,1554,40.77,2258,59.23,138,33.66,272,66.34,5699,51.16,5440,48.84,83012,1742,48.31,1864,51.69
Burt,317,WA,,29285,42.38,39809,57.62,1944,40.69,2834,59.31,191,35.9,341,64.1,3282,47.37,3647,52.63,84358,1479,48.89,1546,51.11
