2016 Federal Election House of Representatives Two Party Preferred By Division [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:48 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Adelaide,179,SA,,43325,45.35,52219,54.65,95544,-0.7
Aston,197,VIC,,50142,58.59,35444,41.41,85586,0.39
Ballarat,198,VIC,,41705,42.68,56002,57.32,97707,-2.43
Banks,103,NSW,,46210,51.44,43622,48.56,89832,-1.36
Barker,180,SA,LP,61566,65.19,32879,34.81,94445,-1.36
Barton,104,NSW,,36571,41.7,51131,58.3,87702,-3.91
Bass,192,TAS,,29056,43.91,37119,56.09,66175,-10.13
Batman,199,VIC,ALP,25456,28.25,64645,71.75,90101,-0.77
Bendigo,200,VIC,,45105,46.26,52398,53.74,97503,-2.48
Bennelong,105,NSW,,55077,59.72,37154,40.28,92231,1.95
Berowra,106,NSW,,62470,66.45,31547,33.55,94017,-2.6
Blair,304,QLD,,35029,41.12,50158,58.88,85187,-3.62
Blaxland,107,NSW,,24378,30.52,55507,69.48,79885,-8.24
Bonner,310,QLD,,48002,53.39,41907,46.61,89909,-0.3
Boothby,182,SA,,50980,53.5,44308,46.5,95288,-3.62
Bowman,155,QLD,,52690,57.07,39635,42.93,92325,-1.79
Braddon,193,TAS,,30913,47.8,33759,52.2,64672,-4.76
Bradfield,108,NSW,,66513,71.04,27121,28.96,93634,0.1
Brand,235,WA,,31516,38.57,50202,61.43,81718,-7.72
Brisbane,156,QLD,,52693,55.92,41532,44.08,94225,1.64
Bruce,201,VIC,,38118,45.92,44894,54.08,83012,-2.28
Burt,317,WA,,36181,42.89,48177,57.11,84358,-13.2
Calare,109,NSW,,61978,61.81,38300,38.19,100278,-3.16
Calwell,203,VIC,,28870,32.13,60978,67.87,89848,-4.01
Canberra,101,ACT,,53473,41.54,75247,58.46,128720,-0.95
Canning,236,WA,,47987,56.79,36507,43.21,84494,-4.56
Capricornia,157,QLD,,44633,50.63,43522,49.37,88155,-0.14
Casey,204,VIC,,51703,56.06,40528,43.94,92231,-1.11
Chifley,111,NSW,,26367,30.81,59202,69.19,85569,-8.26
Chisholm,205,VIC,,44437,51.24,42283,48.76,86720,2.84
Cook,112,NSW,,59760,65.39,31625,34.61,91385,-0.32
Corangamite,207,VIC,,52291,53.13,46126,46.87,98417,-0.81
Corio,208,VIC,,37779,40.01,56656,59.99,94435,-2.24
Cowan,237,WA,,40195,49.32,41301,50.68,81496,-5.2
Cowper,113,NSW,NP,64743,62.58,38717,37.42,103460,-0.65
Cunningham,114,NSW,,35547,36.68,61377,63.32,96924,-2.03
Curtin,238,WA,,60631,70.7,25133,29.3,85764,2.48
Dawson,158,QLD,,48167,53.34,42133,46.66,90300,-4.24
Deakin,209,VIC,,50264,55.68,40004,44.32,90268,2.5
Denison,194,TAS,ALP,23104,34.66,43550,65.34,66654,-6.43
Dickson,252,QLD,,46922,51.6,44011,48.4,90933,-5.12
Dobell,115,NSW,,43683,45.19,52991,54.81,96674,-4.63
Dunkley,210,VIC,,45925,51.43,43368,48.57,89293,-4.14
Durack,312,WA,,46823,61.06,29866,38.94,76689,-3.98
Eden-Monaro,117,NSW,,44466,47.07,50003,52.93,94469,-5.84
Fadden,159,QLD,,54578,61.05,34826,38.95,89404,-3.31
Fairfax,160,QLD,,56299,60.89,36164,39.11,92463,-0.79
Farrer,118,NSW,,68114,70.53,28465,29.47,96579,-1.18
Fenner,102,ACT,,44780,36.11,79242,63.89,124022,-1.4
Fisher,161,QLD,,49473,59.06,34292,40.94,83765,-0.69
Flinders,211,VIC,,58683,57.77,42891,42.23,101574,-4.04
Flynn,311,QLD,,44480,51.04,42666,48.96,87146,-5.49
Forde,162,QLD,,42486,50.63,41424,49.37,83910,-3.75
Forrest,239,WA,,52981,62.56,31710,37.44,84691,-1.25
Fowler,119,NSW,,27561,32.51,57209,67.49,84770,-4.6
Franklin,195,TAS,,27343,39.28,42264,60.72,69607,-5.63
Fremantle,240,WA,,36055,42.48,48821,57.52,84876,-2.12
Gellibrand,212,VIC,,29357,31.77,63060,68.23,92417,-1.7
Gilmore,120,NSW,,52336,50.73,50833,49.27,103169,-3.05
Gippsland,213,VIC,,61106,68.43,28186,31.57,89292,2.59
Goldstein,214,VIC,,58628,62.68,34912,37.32,93540,1.65
Gorton,309,VIC,,29954,30.53,68151,69.47,98105,-3.35
Grayndler,121,NSW,ALP,24306,27.64,63616,72.36,87922,-3.6
Greenway,122,NSW,,38920,43.69,50163,56.31,89083,-3.33
Grey,183,SA,LP,52696,58.63,37180,41.37,89876,-4.91
Griffith,163,QLD,,44519,48.4,47464,51.6,91983,1.5
Groom,164,QLD,,59589,65.31,31658,34.69,91247,-1.16
Hasluck,305,WA,,42294,52.05,38957,47.95,81251,-3.97
Herbert,165,QLD,,44150,49.98,44187,50.02,88337,-6.19
Higgins,215,VIC,LP,54798,60.69,35493,39.31,90291,0.76
Hindmarsh,185,SA,,48446,49.42,49586,50.58,98032,-2.47
Hinkler,166,QLD,,51804,58.42,36865,41.58,88669,-0.62
Holt,216,VIC,,35701,35.83,63929,64.17,99630,-5.08
Hotham,217,VIC,,37060,42.52,50104,57.48,87164,-0.21
Hughes,124,NSW,,55633,59.33,38143,40.67,93776,-2.48
Hume,125,NSW,,57127,60.18,37801,39.82,94928,-3.4
Hunter,126,NSW,,36211,37.54,60255,62.46,96466,-6.78
Indi,218,VIC,LP,49038,54.4,41099,45.6,90137,-4.7
Isaacs,219,VIC,,40932,44.27,51538,55.73,92470,-1.87
Jagajaga,220,VIC,,41894,45.33,50536,54.67,92430,-1.54
Kennedy,167,QLD,LNP,48903,56.86,37107,43.14,86010,-10.29
Kingsford Smith,127,NSW,,38172,41.43,53962,58.57,92134,-5.83
Kingston,186,SA,,30775,32.95,62616,67.05,93391,-7.35
Kooyong,221,VIC,,57007,63.34,32996,36.66,90003,2.28
La Trobe,223,VIC,,47649,51.46,44948,48.54,92597,-2.55
Lalor,222,VIC,,39029,36.56,67731,63.44,106760,-1.28
Leichhardt,168,QLD,,47915,53.95,40893,46.05,88808,-1.73
Lilley,169,QLD,,42964,44.68,53190,55.32,96154,-4
Lindsay,128,NSW,,43643,48.89,45633,51.11,89276,-4.1
Lingiari,306,NT,,17827,41.58,25048,58.42,42875,-7.54
Longman,302,QLD,,43339,49.21,44729,50.79,88068,-7.71
Lyne,130,NSW,,61416,61.63,38238,38.37,99654,-1.89
Lyons,196,TAS,,32677,47.69,35838,52.31,68515,-3.53
Macarthur,131,NSW,,37464,41.67,52448,58.33,89912,-11.72
Mackellar,132,NSW,,61800,65.74,32212,34.26,94012,-3.1
Macquarie,133,NSW,,43719,47.81,47733,52.19,91452,-6.67
Makin,187,SA,,37954,40.35,56116,59.65,94070,-4.59
Mallee,224,VIC,,62383,71.32,25083,28.68,87466,-2.34
Maranoa,170,QLD,LNP,60639,67.66,28980,32.34,89619,-4.62
Maribyrnong,225,VIC,,35369,37.69,58465,62.31,93834,-0.92
Mayo,188,SA,LP,52650,55.35,42466,44.65,95116,-7.16
McEwen,226,VIC,,47718,42.15,65482,57.85,113200,-7.7
McMahon,315,NSW,,32596,37.89,53442,62.11,86038,-7.48
McMillan,227,VIC,,56543,56.03,44378,43.97,100921,-5.8
McPherson,171,QLD,,54687,61.64,34039,38.36,88726,-1.36
Melbourne,228,VIC,ALP,31616,33.43,62963,66.57,94579,2.68
Melbourne Ports,230,VIC,,41236,48.62,43573,51.38,84809,2.18
Menzies,229,VIC,,52842,60.56,34415,39.44,87257,-3.89
Mitchell,134,NSW,,61847,67.82,29351,32.18,91198,-3.57
Moncrieff,172,QLD,,55824,64.94,30136,35.06,85960,-3.01
Moore,242,WA,,53416,61.02,34129,38.98,87545,-1.42
Moreton,173,QLD,,39056,45.98,45892,54.02,84948,-2.47
Murray,231,VIC,NP,65920,74.9,22096,25.1,88016,4.03
New England,135,NSW,NP,63100,66.42,31904,33.58,95004,-3.12
Newcastle,136,NSW,,35887,36.16,63348,63.84,99235,-4.44
North Sydney,137,NSW,,58825,63.61,33652,36.39,92477,-2.1
O'Connor,243,WA,,56543,65.04,30391,34.96,86934,-0.38
Oxley,174,QLD,,34111,40.92,49250,59.08,83361,-5.31
Page,138,NSW,,54717,52.3,49895,47.7,104612,-0.8
Parkes,139,NSW,,60901,65.1,32646,34.9,93547,-4.87
Parramatta,140,NSW,,34722,42.33,47300,57.67,82022,-6.35
Paterson,249,NSW,,39289,39.26,60779,60.74,100068,-10.47
Pearce,244,WA,,46672,53.63,40360,46.37,87032,-5.68
