2019 Federal Election House of Representatives Two Party Preferred By Division [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-22T21:50:21 Cycle:85365308-4295-4370-8e23-05d88256d096 Created:2019-05-22T21:48:30 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Adelaide,179,SA,,34023,41.07,48810,58.93,82833,-0.63
Aston,197,VIC,,52970,60.5,34588,39.5,87558,3.09
Ballarat,198,VIC,,36007,39.07,56148,60.93,92155,-3.57
Banks,103,NSW,,46462,57.11,34890,42.89,81352,5.67
Barker,180,SA,,9050,68.49,4164,31.51,13214,4.62
Barton,104,NSW,,32068,41.09,45973,58.91,78041,-0.61
Bass,192,TAS,,32983,50.38,32486,49.62,65469,5.8
Bean,318,ACT,,36951,42.47,50050,57.53,87001,1.32
Bendigo,200,VIC,,37462,40.9,54134,59.1,91596,-5.23
Bennelong,105,NSW,,50524,57.36,37564,42.64,88088,-2.36
Berowra,106,NSW,,52941,66.02,27253,33.98,80194,-0.43
Blair,304,QLD,,40122,48.57,42483,51.43,82605,6.71
Blaxland,107,NSW,,23816,34.43,45364,65.57,69180,3.91
Bonner,310,QLD,,45674,57.24,34126,42.76,79800,3.85
Boothby,182,SA,,49259,51.55,46297,48.45,95556,-1.16
Bowman,155,QLD,,52220,60.47,34137,39.53,86357,3.4
Braddon,193,TAS,,35516,53.42,30972,46.58,66488,5.15
Bradfield,108,NSW,,57783,67.3,28075,32.7,85858,-3.74
Brand,235,WA,,32068,43.1,42341,56.9,74409,4.53
Brisbane,156,QLD,,43157,54.6,35879,45.4,79036,-1.4
Bruce,201,VIC,,27096,34.96,50408,65.04,77504,-0.99
Burt,317,WA,,32449,44.24,40898,55.76,73347,1.35
Calare,109,NSW,,3452,66.94,1705,33.06,5157,5.13
Calwell,203,VIC,,22068,30.39,50552,69.61,72620,0.12
Canberra,101,ACT,,25561,32.97,51967,67.03,77528,-4.09
Canning,236,WA,,46607,61.43,29257,38.57,75864,4.64
Capricornia,157,QLD,,48838,61.7,30320,38.3,79158,11.07
Casey,204,VIC,,45129,54.46,37730,45.54,82859,-0.08
Chifley,111,NSW,,30279,37.51,50435,62.49,80714,6.7
Chisholm,205,VIC,,42894,50.82,41515,49.18,84409,-2.09
Clark,319,TAS,,0,0,0,0,0,-34.67
Cook,112,NSW,,56493,69.44,24867,30.56,81360,4.05
Cooper,320,VIC,,0,0,0,0,0,-27.91
Corangamite,207,VIC,,42586,48.74,44792,51.26,87378,-1.23
Corio,208,VIC,,33491,39.36,51605,60.64,85096,-2.44
Cowan,237,WA,,36517,49.49,37265,50.51,73782,0.17
Cowper,113,NSW,,0,0,0,0,0,-62.58
Cunningham,114,NSW,,33991,36.62,58834,63.38,92825,-0.06
Curtin,238,WA,,48924,65.05,26285,34.95,75209,-5.65
Dawson,158,QLD,,50875,64.86,27567,35.14,78442,11.49
Deakin,209,VIC,,42524,54.79,35092,45.21,77616,-1.65
Dickson,252,QLD,,44437,54.32,37365,45.68,81802,2.63
Dobell,115,NSW,,45652,48.67,48153,51.33,93805,3.48
Dunkley,210,VIC,,38843,47.17,43499,52.83,82342,-1.8
Durack,312,WA,,43039,64.72,23466,35.28,66505,3.66
Eden-Monaro,117,NSW,,43596,49.05,45283,50.95,88879,1.98
Fadden,159,QLD,,53649,64.49,29544,35.51,83193,3.25
Fairfax,160,QLD,,56420,64.74,30731,35.26,87151,3.87
Farrer,118,NSW,,0,0,0,0,0,-70.53
Fenner,102,ACT,,31306,39.31,48335,60.69,79641,1.15
Fisher,161,QLD,,53098,62.7,31589,37.3,84687,3.55
Flinders,211,VIC,,46779,55.35,37742,44.65,84521,-1.66
Flynn,311,QLD,,43759,57.29,32622,42.71,76381,6.25
Forde,162,QLD,,44091,58.43,31364,41.57,75455,7.8
Forrest,239,WA,,53338,64.97,28763,35.03,82101,2.41
Fowler,119,NSW,,26164,35.31,47941,64.69,74105,2.8
Franklin,195,TAS,,23778,37.66,39363,62.34,63141,-1.61
Fraser,321,VIC,,28333,35.51,51454,64.49,79787,5.3
Fremantle,240,WA,,32145,42.14,44144,57.86,76289,-0.34
Gellibrand,212,VIC,,29564,34.96,55010,65.04,84574,0.08
Gilmore,120,NSW,,46945,47.53,51827,52.47,98772,-3.2
Gippsland,213,VIC,,60419,67.31,29344,32.69,89763,-0.9
Goldstein,214,VIC,,47392,58.11,34161,41.89,81553,-4.57
Gorton,309,VIC,,25592,34.34,48924,65.66,74516,2.83
Grayndler,121,NSW,,0,0,0,0,0,-27.64
Greenway,122,NSW,,39700,47.09,44603,52.91,84303,3.4
Grey,183,SA,,10074,70.91,4132,29.09,14206,13.16
Griffith,163,QLD,,38772,47.04,43659,52.96,82431,-1.53
Groom,164,QLD,,56312,69.78,24393,30.22,80705,4.47
Hasluck,305,WA,,38884,55.27,31473,44.73,70357,3.22
Herbert,165,QLD,,46701,57.71,34217,42.29,80918,7.73
Higgins,215,VIC,,43142,53.82,37014,46.18,80156,-6.15
Hindmarsh,185,SA,,38556,42.88,51354,57.12,89910,1.31
Hinkler,166,QLD,,53575,64.35,29680,35.65,83255,5.97
Holt,216,VIC,,32191,41.04,46247,58.96,78438,0.98
Hotham,217,VIC,,34971,43.66,45121,56.34,80092,-2.13
Hughes,124,NSW,,50391,59.96,33653,40.04,84044,0.63
Hume,125,NSW,,57301,63.34,33170,36.66,90471,3.16
Hunter,126,NSW,,43308,47.35,48156,52.65,91464,9.81
Indi,218,VIC,,0,0,0,0,0,-55.01
Isaacs,219,VIC,,34466,42.05,47501,57.95,81967,-4.97
Jagajaga,220,VIC,,37177,43.67,47949,56.33,85126,-0.73
Kennedy,167,QLD,,0,0,0,0,0,-56.74
Kingsford Smith,127,NSW,,35007,41.21,49947,58.79,84954,-0.22
Kingston,186,SA,,34264,37.64,56760,62.36,91024,1.19
Kooyong,221,VIC,,0,0,0,0,0,-62.82
La Trobe,223,VIC,,46171,54.49,38557,45.51,84728,1.27
