2007 Federal Election House of Representatives Two Party Preferred By Polling Place [Event:13745 Phase:FinalResults Generated:2008-09-03T12:44:03 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
ACT,101,Canberra,8829,Barton,847,38.85,1333,61.15,2180,-1.92
ACT,101,Canberra,11877,Bonython,809,38.73,1280,61.27,2089,-2.35
ACT,101,Canberra,11452,Calwell,1123,40.56,1646,59.44,2769,0.01
ACT,101,Canberra,8794,Canberra Hospital,350,36.05,621,63.95,971,-1.93
ACT,101,Canberra,8761,Chapman,1214,38.82,1913,61.18,3127,-0.48
ACT,101,Canberra,8763,Chisholm,716,37.18,1210,62.82,1926,-4.79
ACT,101,Canberra,31298,Conder,1474,40.99,2122,59.01,3596,-2.31
ACT,101,Canberra,8764,Curtin,1138,36.28,1999,63.72,3137,1.77
ACT,101,Canberra,8766,Deakin,814,50.46,799,49.54,1613,0.03
ACT,101,Canberra,8767,Duffy,674,33.6,1332,66.4,2006,-1.54
ACT,101,Canberra,8768,Fadden,1096,43.39,1430,56.61,2526,-2.45
ACT,101,Canberra,8769,Farrer,1225,44.95,1500,55.05,2725,-1.16
ACT,101,Canberra,8771,Gilmore,908,39.89,1368,60.11,2276,-1.62
ACT,101,Canberra,12072,Gordon,1947,41.92,2698,58.08,4645,-2.2
ACT,101,Canberra,8772,Gowrie,899,40.48,1322,59.52,2221,0.33
ACT,101,Canberra,8817,Griffith,696,41.23,992,58.77,1688,5.55
ACT,101,Canberra,8773,Holder,716,35.1,1324,64.9,2040,-0.72
ACT,101,Canberra,8774,Hughes,1268,38.07,2063,61.93,3331,0.06
ACT,101,Canberra,8884,Isabella Plains,1040,38.14,1687,61.86,2727,-4.69
ACT,101,Canberra,8775,Kambah East,615,33.28,1233,66.72,1848,-3.46
ACT,101,Canberra,8776,Kambah North,544,33.66,1072,66.34,1616,-5.12
ACT,101,Canberra,8777,Kambah South,610,32.33,1277,67.67,1887,-4.12
ACT,101,Canberra,8778,Kambah West,1092,36.05,1937,63.95,3029,-2.07
ACT,101,Canberra,8779,Lyons,567,31.4,1239,68.6,1806,-0.7
ACT,101,Canberra,8780,Mawson,1190,39.18,1847,60.82,3037,-1.58
ACT,101,Canberra,8781,Monash,1288,39.57,1967,60.43,3255,-0.75
ACT,101,Canberra,8782,Narrabundah,724,30.89,1620,69.11,2344,-1.8
ACT,101,Canberra,8783,Oaks Estate,44,31.21,97,68.79,141,-6.55
ACT,101,Canberra,8784,Pearce,1187,35.3,2176,64.7,3363,-0.71
ACT,101,Canberra,8785,Red Hill,1015,41.28,1444,58.72,2459,-6.75
ACT,101,Canberra,8786,Richardson,684,36.66,1182,63.34,1866,-3.7
ACT,101,Canberra,32712,Special Hospital Team 1,54,60,36,40,90,2.94
ACT,101,Canberra,32713,Special Hospital Team 2,82,47.95,89,52.05,171,-9.19
ACT,101,Canberra,38492,Special Hospital Team 3,52,48.15,56,51.85,108,-8.74
ACT,101,Canberra,46425,Stirling,264,32,561,68,825,-4.46
ACT,101,Canberra,8788,Tharwa,49,51.04,47,48.96,96,1.42
ACT,101,Canberra,11878,Theodore,761,39.88,1147,60.12,1908,-4.47
ACT,101,Canberra,8790,Wanniassa,900,33.09,1820,66.91,2720,-3.29
ACT,101,Canberra,8791,Wanniassa Hills,1003,37.31,1685,62.69,2688,-2.47
ACT,101,Canberra,8792,Waramanga,1131,34.96,2104,65.04,3235,-1.77
ACT,101,Canberra,8793,Weston,552,35.2,1016,64.8,1568,-1.79
ACT,101,Canberra,8840,Yarralumla,759,38.74,1200,61.26,1959,0.21
ACT,102,Fraser,8802,Ainslie,582,27.69,1520,72.31,2102,-1.6
ACT,102,Fraser,8801,Ainslie North,556,22.52,1913,77.48,2469,-0.85
ACT,102,Fraser,38197,Amaroo,1470,48.66,1551,51.34,3021,-4.38
ACT,102,Fraser,8803,Aranda,684,25.52,1996,74.48,2680,-1.32
ACT,102,Fraser,8804,Baker Gardens,212,25.18,630,74.82,842,1.41
ACT,102,Fraser,8805,Belconnen,825,33.01,1674,66.99,2499,0.93
ACT,102,Fraser,12073,Bruce,269,39.16,418,60.84,687,-5.15
ACT,102,Fraser,8806,Campbell,935,44.78,1153,55.22,2088,-8.41
ACT,102,Fraser,8807,Charnwood,1376,35.72,2476,64.28,3852,-3.01
ACT,102,Fraser,8808,City,370,28.86,912,71.14,1282,-1.5
ACT,102,Fraser,8809,Dickson,471,31.01,1048,68.99,1519,0.78
ACT,102,Fraser,8810,Downer,338,27.08,910,72.92,1248,-0.84
ACT,102,Fraser,8812,Evatt,1094,35.66,1974,64.34,3068,-3.2
ACT,102,Fraser,8813,Evatt South,564,35.12,1042,64.88,1606,-1.85
ACT,102,Fraser,8814,Florey,772,33.93,1503,66.07,2275,-3.36
ACT,102,Fraser,34238,Fraser,1122,37.18,1896,62.82,3018,-2.97
