2019 Federal Election House of Representatives Two Party Preferred By Polling Place [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-22T21:50:20 Cycle:85365308-4295-4370-8e23-05d88256d096 Created:2019-05-22T21:48:30 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,263,36.94,449,63.06,712,-2.92
ACT,318,Bean,93927,BLV Bean PPVC,0,0,0,0,0,-50
ACT,318,Bean,11877,Bonython,507,37.89,831,62.11,1338,0.62
ACT,318,Bean,11452,Calwell,794,42.06,1094,57.94,1888,1.95
ACT,318,Bean,8761,Chapman,804,36.4,1405,63.6,2209,-4.49
ACT,318,Bean,8763,Chisholm,625,43.65,807,56.35,1432,4.05
ACT,318,Bean,93916,City (Bean),26,28.26,66,71.74,92,-6.05
ACT,318,Bean,93922,City BEAN PPVC,878,36.49,1528,63.51,2406,-7.76
ACT,318,Bean,31298,Conder,866,42.12,1190,57.88,2056,3.44
ACT,318,Bean,83835,Conder North,431,46.05,505,53.95,936,6.98
ACT,318,Bean,82523,Coombs,749,35.68,1350,64.32,2099,-3.64
ACT,318,Bean,93906,Curtin (Bean),86,37.39,144,62.61,230,1.11
ACT,318,Bean,93932,Divisional Office (PREPOLL),33,44.59,41,55.41,74,44.59
ACT,318,Bean,8767,Duffy,493,28.75,1222,71.25,1715,-6.15
ACT,318,Bean,8768,Fadden,759,45.18,921,54.82,1680,-2.69
ACT,318,Bean,8769,Farrer,899,41.22,1282,58.78,2181,-3.55
ACT,318,Bean,93913,Garran (Bean),192,40.42,283,59.58,475,-2.96
ACT,318,Bean,8771,Gilmore,696,44.76,859,55.24,1555,2.42
ACT,318,Bean,12072,Gordon,1070,42.33,1458,57.67,2528,2.62
ACT,318,Bean,83837,Gordon North,274,51.31,260,48.69,534,12.21
ACT,318,Bean,8772,Gowrie,648,43.03,858,56.97,1506,2.17
ACT,318,Bean,97445,Greenway,538,42.43,730,57.57,1268,5.29
ACT,318,Bean,93929,Gungahlin BEAN PPVC,178,51.74,166,48.26,344,7.43
ACT,318,Bean,8773,Holder,661,40.11,987,59.89,1648,-1.77
ACT,318,Bean,93908,Hughes (Bean),90,42.25,123,57.75,213,2.06
ACT,318,Bean,8884,Isabella Plains,732,42.09,1007,57.91,1739,5.22
ACT,318,Bean,8776,Kambah North,541,38.07,880,61.93,1421,1
ACT,318,Bean,8777,Kambah South,641,34.63,1210,65.37,1851,0.18
