2019 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:40 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,318,Bean,A,0,33704,A Ticket Votes,Liberal,LP,N,N,182,0,0,0,0,182
ACT,318,Bean,A,1,32766,"SESELJA, Zed",Liberal,LP,N,Y,0,0,0,0,0,0
ACT,318,Bean,A,2,32779,"GUNNING, Robert",Liberal,LP,N,N,0,0,0,0,0,0
ACT,318,Bean,A,9998,0,Unapportioned,Liberal,LP,N,N,29425,0,0,0,0,29425
ACT,318,Bean,B,0,33700,B Ticket Votes,The Greens,GRN,N,N,17,0,0,0,0,17
ACT,318,Bean,B,1,32210,"KYBURZ, Penny",The Greens,GRN,N,N,0,0,0,0,0,0
ACT,318,Bean,B,2,32212,"DAVIDSON, Emma",The Greens,GRN,N,N,0,0,0,0,0,0
ACT,318,Bean,B,9998,0,Unapportioned,The Greens,GRN,N,N,12173,0,0,0,0,12173
ACT,318,Bean,C,0,33706,C Ticket Votes,,,N,N,7,0,0,0,0,7
ACT,318,Bean,C,1,33572,"PESEC, Anthony",,,N,N,0,0,0,0,0,0
ACT,318,Bean,C,2,33576,"KENT, Gary",,,N,N,0,0,0,0,0,0
ACT,318,Bean,C,9998,0,Unapportioned,,,N,N,4156,0,0,0,0,4156
ACT,318,Bean,D,0,33705,D Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,2,0,0,0,0,2
ACT,318,Bean,D,1,33574,"VAN DUREN, Shane",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
ACT,318,Bean,D,2,33584,"BIRKETT, Scott",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
ACT,318,Bean,D,9998,0,Unapportioned,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,914,0,0,0,0,914
ACT,318,Bean,E,0,33702,E Ticket Votes,United Australia Party,UAPP,N,N,6,0,0,0,0,6
ACT,318,Bean,E,1,32246,"WALTER, Peter",United Australia Party,UAPP,N,N,0,0,0,0,0,0
