2019 Federal Election Senate First Preferences By Group By Vote Type [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:40 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
LP,Liberal,841088,9.15,0,0.00,0,0.00,0,0.00,3612,19.12,844700,9.17
LPNP,Liberal/Nationals,1920914,20.90,0,0.00,0,0.00,0,0.00,4310,22.82,1925224,20.91
LNP,Liberal National Party,637312,6.94,0,0.00,0,0.00,0,0.00,1259,6.66,638571,6.93
NP,The Nationals,15151,0.16,0,0.00,0,0.00,0,0.00,40,0.21,15191,0.16
CLP,Country Liberals (NT),33045,0.36,0,0.00,0,0.00,0,0.00,0,0.00,33045,0.36
ALP,Australian Labor Party,1761959,19.17,0,0.00,0,0.00,0,0.00,2008,10.63,1763967,19.16
ALPC,Labor/Country Labor,965852,10.51,0,0.00,0,0.00,0,0.00,2927,15.49,968779,10.52
GRN,The Greens,968582,10.54,0,0.00,0,0.00,0,0.00,928,4.91,969510,10.53
XEN,Centre Alliance,20477,0.22,0,0.00,0,0.00,0,0.00,0,0.00,20477,0.22
ON,Pauline Hanson's One Nation,480124,5.22,0,0.00,0,0.00,0,0.00,1166,6.17,481290,5.23
ACP,Australian Conservatives,66606,0.72,0,0.00,0,0.00,0,0.00,82,0.43,66688,0.72
DHJP,Derryn Hinch's Justice Party,54207,0.59,0,0.00,0,0.00,0,0.00,42,0.22,54249,0.59
FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,59234,0.64,0,0.00,0,0.00,0,0.00,95,0.50,59329,0.64
LDP,Liberal Democrats (LDP),103614,1.13,0,0.00,0,0.00,0,0.00,188,1.00,103802,1.13
UAPP,United Australia Party,205228,2.23,0,0.00,0,0.00,0,0.00,352,1.86,205580,2.23
AAHP,Affordable Housing Party,11324,0.12,0,0.00,0,0.00,0,0.00,29,0.15,11353,0.12
AJP,Animal Justice Party,108506,1.18,0,0.00,0,0.00,0,0.00,230,1.22,108736,1.18
ABFA,Australian Better Families,11824,0.13,0,0.00,0,0.00,0,0.00,13,0.07,11837,0.13
AUC,Australian Christians,17061,0.19,0,0.00,0,0.00,0,0.00,79,0.42,17140,0.19
AUD,Australian Democrats,15485,0.17,0,0.00,0,0.00,0,0.00,18,0.10,15503,0.17
ALA,Australian Liberty Alliance,1935,0.02,0,0.00,0,0.00,0,0.00,1,0.01,1936,0.02
APEP,Australian People's Party,9189,0.10,0,0.00,0,0.00,0,0.00,19,0.10,9208,0.10
AWP,Australian Workers Party,16657,0.18,0,0.00,0,0.00,0,0.00,11,0.06,16668,0.18
CDP,Christian Democratic Party,62287,0.68,0,0.00,0,0.00,0,0.00,138,0.73,62425,0.68
CEC,Citizens Electoral Council,7124,0.08,0,0.00,0,0.00,0,0.00,8,0.04,7132,0.08
DLP,DLP - Democratic Labour Party,85511,0.93,0,0.00,0,0.00,0,0.00,64,0.34,85575,0.93
HMP,HEMP,165772,1.80,0,0.00,0,0.00,0,0.00,185,0.98,165957,1.80
NMP,Health Australia Party,23651,0.26,0,0.00,0,0.00,0,0.00,54,0.29,23705,0.26
ICAN,Independents For Climate Action,33405,0.36,0,0.00,0,0.00,0,0.00,60,0.32,33465,0.36
IMO,Involuntary Medication Objectors (Vaccination/Fluoride) Party,10908,0.12,0,0.00,0,0.00,0,0.00,44,0.23,10952,0.12
JLN,Jacqui Lambie Network,22059,0.24,0,0.00,0,0.00,0,0.00,199,1.05,22258,0.24
KAP,Katter's Australian Party (KAP),27112,0.30,0,0.00,0,0.00,0,0.00,68,0.36,27180,0.30
LAOL,Love Australia or Leave,5563,0.06,0,0.00,0,0.00,0,0.00,10,0.05,5573,0.06
SOL,Climate Action! Immigration Action! Accountable Politicians!,18378,0.20,0,0.00,0,0.00,0,0.00,14,0.07,18392,0.20
PIR,Pirate Party,33583,0.37,0,0.00,0,0.00,0,0.00,52,0.28,33635,0.37
RPA,Republican Party of Australia,4073,0.04,0,0.00,0,0.00,0,0.00,1,0.01,4074,0.04
RUA,Rise Up Australia Party,38615,0.42,0,0.00,0,0.00,0,0.00,35,0.19,38650,0.42
FUT,Science Party,12481,0.14,0,0.00,0,0.00,0,0.00,19,0.10,12500,0.14
SPA,Secular Party of Australia,2513,0.03,0,0.00,0,0.00,0,0.00,0,0.00,2513,0.03
SUN,Seniors United Party of Australia,4223,0.05,0,0.00,0,0.00,0,0.00,38,0.20,4261,0.05
ASP,"Shooters, Fishers and Farmers",147668,1.61,0,0.00,0,0.00,0,0.00,257,1.36,147925,1.61
SAL,Socialist Alliance,5243,0.06,0,0.00,0,0.00,0,0.00,8,0.04,5251,0.06
SEP,Socialist Equality Party,8003,0.09,0,0.00,0,0.00,0,0.00,5,0.03,8008,0.09
SPP,Sustainable Australia,36831,0.40,0,0.00,0,0.00,0,0.00,64,0.34,36895,0.40
GAP,The Great Australian Party,21074,0.23,0,0.00,0,0.00,0,0.00,15,0.08,21089,0.23
TSBP,The Small Business Party,18202,0.20,0,0.00,0,0.00,0,0.00,26,0.14,18228,0.20
TTP,The Together Party,4174,0.05,0,0.00,0,0.00,0,0.00,4,0.02,4178,0.05
TWP,The Women's Party,10620,0.12,0,0.00,0,0.00,0,0.00,32,0.17,10652,0.12
FLUX,VOTEFLUX.ORG,5259,0.06,0,0.00,0,0.00,0,0.00,10,0.05,5269,0.06
WAP,WESTERN AUSTRALIA PARTY,10815,0.12,0,0.00,0,0.00,0,0.00,54,0.29,10869,0.12
UNAM,Unendorsed/Ungrouped Amalgamated,38897,0.42,0,0.00,0,0.00,0,0.00,18,0.10,38915,0.42
