2016 Federal Election Senate First Preferences By Group By Vote Type By State [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:57 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,LPNP,Liberal & Nationals,1363731,35.83,62533,29.84,11472,25.06,49955,34.94,122935,42.75,1610626,35.85
NSW,ALP,Labor,1209273,31.77,65320,31.17,16878,36.87,38492,26.92,75125,26.12,1405088,31.28
NSW,LDP,Liberal Democrats,115184,3.03,8396,4.01,1791,3.91,5994,4.19,7642,2.66,139007,3.09
NSW,GRN,The Greens,272640,7.16,21368,10.20,3353,7.32,16029,11.21,19470,6.77,332860,7.41
NSW,PUP,Palmer United Party,2349,0.06,185,0.09,45,0.10,101,0.07,125,0.04,2805,0.06
NSW,CDP,Christian Democratic Party (Fred Nile Group),105259,2.77,5098,2.43,1122,2.45,3005,2.10,6895,2.40,121379,2.70
NSW,DLP,Democratic Labour Party (DLP),44121,1.16,2969,1.42,859,1.88,1781,1.25,1780,0.62,51510,1.15
NSW,ASP,"Shooters, Fishers and Farmers",75843,1.99,5012,2.39,1135,2.48,2643,1.85,4204,1.46,88837,1.98
NSW,ON,Pauline Hanson's One Nation,156018,4.10,7923,3.78,1977,4.32,5285,3.70,12809,4.45,184012,4.10
NSW,ASXP,Australian Sex Party,24803,0.65,2186,1.04,418,0.91,1264,0.88,1367,0.48,30038,0.67
NSW,HMP,Marijuana (HEMP) Party,24620,0.65,2356,1.12,541,1.18,950,0.66,1043,0.36,29510,0.66
NSW,AJP,Animal Justice Party,30583,0.80,2511,1.20,534,1.17,1359,0.95,3004,1.04,37991,0.85
NSW,KAP,Katter's Australian Party,3579,0.09,188,0.09,42,0.09,178,0.12,329,0.11,4316,0.10
NSW,AMEP,Australian Motoring Enthusiast Party,13734,0.36,1174,0.56,256,0.56,457,0.32,735,0.26,16356,0.36
NSW,FFP,Family First,44165,1.16,3271,1.56,1048,2.29,1983,1.39,2560,0.89,53027,1.18
NSW,VEP,Voluntary Euthanasia Party,12404,0.33,679,0.32,135,0.29,464,0.32,1516,0.53,15198,0.34
NSW,PIR,Pirate Party Australia,9469,0.25,712,0.34,164,0.36,437,0.31,636,0.22,11418,0.25
NSW,RUA,Rise Up Australia Party,6507,0.17,373,0.18,92,0.20,223,0.16,343,0.12,7538,0.17
NSW,DRF,Drug Law Reform,16928,0.44,1956,0.93,445,0.97,789,0.55,765,0.27,20883,0.46
NSW,SPP,Sustainable Australia,6242,0.16,427,0.20,84,0.18,344,0.24,626,0.22,7723,0.17
