2019 Federal Election Senate First Preferences By Group By Vote Type By State [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:40 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,LPNP,Liberal & Nationals,1227640,38.59,0,0.00,0,0.00,0,0.00,3803,43.25,1231443,38.60
NSW,ALPC,Labor/Country Labor,965852,30.36,0,0.00,0,0.00,0,0.00,2927,33.28,968779,30.37
NSW,LDP,Liberal Democrats,57663,1.81,0,0.00,0,0.00,0,0.00,125,1.42,57788,1.81
NSW,GRN,The Greens,281357,8.84,0,0.00,0,0.00,0,0.00,436,4.96,281793,8.83
NSW,UAPP,United Australia Party,44684,1.40,0,0.00,0,0.00,0,0.00,86,0.98,44770,1.40
NSW,AAHP,Affordable Housing Party,11324,0.36,0,0.00,0,0.00,0,0.00,29,0.33,11353,0.36
NSW,AJP,Animal Justice Party,31802,1.00,0,0.00,0,0.00,0,0.00,115,1.31,31917,1.00
NSW,ABFA,Australian Better Families,4721,0.15,0,0.00,0,0.00,0,0.00,7,0.08,4728,0.15
NSW,ACP,Australian Conservatives,16293,0.51,0,0.00,0,0.00,0,0.00,25,0.28,16318,0.51
NSW,AUD,Australian Democrats,5728,0.18,0,0.00,0,0.00,0,0.00,16,0.18,5744,0.18
NSW,APEP,Australian People's Party,9189,0.29,0,0.00,0,0.00,0,0.00,19,0.22,9208,0.29
NSW,AWP,Australian Workers Party,5001,0.16,0,0.00,0,0.00,0,0.00,3,0.03,5004,0.16
NSW,CDP,Christian Democratic Party (Fred Nile Group),51933,1.63,0,0.00,0,0.00,0,0.00,132,1.50,52065,1.63
NSW,CEC,Citizens Electoral Council,1085,0.03,0,0.00,0,0.00,0,0.00,1,0.01,1086,0.03
NSW,DLP,Democratic Labour Party,17133,0.54,0,0.00,0,0.00,0,0.00,41,0.47,17174,0.54
NSW,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,11979,0.38,0,0.00,0,0.00,0,0.00,27,0.31,12006,0.38
NSW,HMP,Help End Marijuana Prohibition (HEMP) Party,66398,2.09,0,0.00,0,0.00,0,0.00,95,1.08,66493,2.08
NSW,NMP,Health Australia Party,14579,0.46,0,0.00,0,0.00,0,0.00,36,0.41,14615,0.46
NSW,ICAN,Independents For Climate Action Now,18788,0.59,0,0.00,0,0.00,0,0.00,48,0.55,18836,0.59
NSW,IMO,Involuntary Medication Objectors (Vaccination/Fluoride) Party,3528,0.11,0,0.00,0,0.00,0,0.00,26,0.30,3554,0.11
NSW,SOL,Climate Action! Immigration Action! Accountable Politicians!,4276,0.13,0,0.00,0,0.00,0,0.00,8,0.09,4284,0.13
NSW,ON,Pauline Hanson's One Nation,154502,4.86,0,0.00,0,0.00,0,0.00,476,5.41,154978,4.86
NSW,PIR,Pirate Party,11358,0.36,0,0.00,0,0.00,0,0.00,21,0.24,11379,0.36
