2019 Federal Election Senate First Preferences By State By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:45 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,A,33704,0,A Ticket Votes,Liberal,667,0,0,0,0,667
ACT,A,32766,1,"SESELJA, Zed",Liberal,0,0,0,0,0,0
ACT,A,32779,2,"GUNNING, Robert",Liberal,0,0,0,0,0,0
ACT,A,0,9998,Unapportioned,Liberal,71109,0,0,0,0,71109
ACT,B,33700,0,B Ticket Votes,The Greens,253,0,0,0,0,253
ACT,B,32210,1,"KYBURZ, Penny",The Greens,0,0,0,0,0,0
ACT,B,32212,2,"DAVIDSON, Emma",The Greens,0,0,0,0,0,0
ACT,B,0,9998,Unapportioned,The Greens,37928,0,0,0,0,37928
ACT,C,33706,0,C Ticket Votes,,22,0,0,0,0,22
ACT,C,33572,1,"PESEC, Anthony",,0,0,0,0,0,0
ACT,C,33576,2,"KENT, Gary",,0,0,0,0,0,0
ACT,C,0,9998,Unapportioned,,10624,0,0,0,0,10624
ACT,D,33705,0,D Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,11,0,0,0,0,11
ACT,D,33574,1,"VAN DUREN, Shane",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0,0,0,0,0,0
ACT,D,33584,2,"BIRKETT, Scott",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0,0,0,0,0,0
ACT,D,0,9998,Unapportioned,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1993,0,0,0,0,1993
ACT,E,33702,0,E Ticket Votes,United Australia Party,30,0,0,0,0,30
ACT,E,32246,1,"WALTER, Peter",United Australia Party,0,0,0,0,0,0
ACT,E,32248,2,"HODGSON, Rebecah Elen",United Australia Party,0,0,0,0,0,0
ACT,E,0,9998,Unapportioned,United Australia Party,4951,0,0,0,0,4951
ACT,F,33703,0,F Ticket Votes,Sustainable Australia,17,0,0,0,0,17
ACT,F,32254,1,"HAYDON, John",Sustainable Australia,0,0,0,0,0,0
ACT,F,32256,2,"ANGEL, Joy",Sustainable Australia,0,0,0,0,0,0
ACT,F,0,9998,Unapportioned,Sustainable Australia,3478,0,0,0,0,3478
ACT,G,33701,0,G Ticket Votes,Australian Labor Party,718,0,0,0,0,718
