2016 Federal Election Senate Informal Votes By Division [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:56 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
DivisionID,DivisionNm,StateAb,FormalVotes,InformalVotes,TotalVotes,InformalPercent
107,Blaxland,NSW,83969,8560,92529,9.25
251,Watson,NSW,87200,7855,95055,8.26
119,Fowler,NSW,88417,7853,96270,8.16
315,McMahon,NSW,89555,7921,97476,8.13
153,Werriwa,NSW,91662,7135,98797,7.22
203,Calwell,VIC,90982,6681,97663,6.84
104,Barton,NSW,90875,6298,97173,6.48
111,Chifley,NSW,88789,6084,94873,6.41
309,Gorton,VIC,99397,5850,105247,5.56
118,Farrer,NSW,98050,5626,103676,5.43
231,Murray,VIC,91912,5221,97133,5.38
224,Mallee,VIC,87316,4937,92253,5.35
232,Scullin,VIC,96802,5458,102260,5.34
131,Macarthur,NSW,92622,5194,97816,5.31
140,Parramatta,NSW,87315,4828,92143,5.24
128,Lindsay,NSW,97434,5350,102784,5.21
225,Maribyrnong,VIC,94811,5216,100027,5.21
234,Wills,VIC,96962,5223,102185,5.11
216,Holt,VIC,101061,5403,106464,5.07
233,Wannon,VIC,88716,4741,93457,5.07
103,Banks,NSW,92859,4923,97782,5.03
212,Gellibrand,VIC,92824,4818,97642,4.93
213,Gippsland,VIC,91696,4727,96423,4.9
150,Whitlam,NSW,100060,5040,105100,4.8
201,Bruce,VIC,83947,4173,88120,4.74
139,Parkes,NSW,94716,4707,99423,4.73
122,Greenway,NSW,93556,4593,98149,4.68
217,Hotham,VIC,87677,4243,91920,4.62
115,Dobell,NSW,98944,4786,103730,4.61
176,Rankin,QLD,87211,4130,91341,4.52
222,Lalor,VIC,107821,5073,112894,4.49
113,Cowper,NSW,105049,4896,109945,4.45
199,Batman,VIC,94648,4390,99038,4.43
126,Hunter,NSW,101470,4682,106152,4.41
219,Isaacs,VIC,93032,4279,97311,4.4
189,Port Adelaide,SA,98910,4538,103448,4.39
250,Riverina,NSW,99749,4573,104322,4.38
109,Calare,NSW,101908,4661,106569,4.37
227,McMillan,VIC,103623,4707,108330,4.35
208,Corio,VIC,95512,4304,99816,4.31
148,Shortland,NSW,99696,4489,104185,4.31
198,Ballarat,VIC,99124,4416,103540,4.27
172,Moncrieff,QLD,86929,3848,90777,4.24
237,Cowan,WA,83895,3708,87603,4.23
197,Aston,VIC,86266,3797,90063,4.22
114,Cunningham,NSW,98289,4326,102615,4.22
226,McEwen,VIC,116948,5143,122091,4.21
125,Hume,NSW,97350,4270,101620,4.2
218,Indi,VIC,93028,4080,97108,4.2
191,Wakefield,SA,98476,4266,102742,4.15
159,Fadden,QLD,89730,3871,93601,4.14
162,Forde,QLD,86059,3714,89773,4.14
302,Longman,QLD,92881,4006,96887,4.13
249,Paterson,NSW,102146,4388,106534,4.12
112,Cook,NSW,93322,3996,97318,4.11
130,Lyne,NSW,101063,4320,105383,4.1
120,Gilmore,NSW,103993,4439,108432,4.09
171,McPherson,QLD,89343,3772,93115,4.05
127,Kingsford Smith,NSW,94825,3994,98819,4.04
211,Flinders,VIC,102326,4225,106551,3.97
168,Leichhardt,QLD,92437,3822,96259,3.97
210,Dunkley,VIC,92801,3811,96612,3.94
193,Braddon,TAS,65724,2686,68410,3.93
166,Hinkler,QLD,89554,3663,93217,3.93
204,Casey,VIC,92985,3793,96778,3.92
135,New England,NSW,98825,4033,102858,3.92
146,Robertson,NSW,97333,3974,101307,3.92
178,Wide Bay,QLD,91228,3726,94954,3.92
136,Newcastle,NSW,101094,4085,105179,3.88
138,Page,NSW,105314,4235,109549,3.87
200,Bendigo,VIC,98858,3957,102815,3.85
132,Mackellar,NSW,96196,3849,100045,3.85
196,Lyons,TAS,69549,2780,72329,3.84
145,Richmond,NSW,98660,3935,102595,3.84
161,Fisher,QLD,86931,3463,90394,3.83
180,Barker,SA,95669,3782,99451,3.8
317,Burt,WA,86071,3375,89446,3.77
239,Forrest,WA,87433,3425,90858,3.77
144,Reid,NSW,92958,3632,96590,3.76
117,Eden-Monaro,NSW,97685,3752,101437,3.7
246,Stirling,WA,84731,3260,87991,3.7
105,Bennelong,NSW,94573,3625,98198,3.69
236,Canning,WA,86088,3299,89387,3.69
174,Oxley,QLD,84412,3204,87616,3.66
167,Kennedy,QLD,86698,3277,89975,3.64
235,Brand,WA,83309,3127,86436,3.62
183,Grey,SA,90793,3408,94201,3.62
229,Menzies,VIC,89299,3356,92655,3.62
243,O'Connor,WA,88046,3310,91356,3.62
244,Pearce,WA,89503,3364,92867,3.62
158,Dawson,QLD,91665,3428,95093,3.6
240,Fremantle,WA,86272,3209,89481,3.59
316,Wright,QLD,89811,3334,93145,3.58
165,Herbert,QLD,91913,3389,95302,3.56
306,Lingiari,NT,45027,1663,46690,3.56
124,Hughes,NSW,95574,3516,99090,3.55
133,Macquarie,NSW,95408,3489,98897,3.53
304,Blair,QLD,87784,3203,90987,3.52
187,Makin,SA,96111,3503,99614,3.52
160,Fairfax,QLD,95601,3454,99055,3.49
192,Bass,TAS,66777,2398,69175,3.47
312,Durack,WA,78248,2813,81061,3.47
175,Petrie,QLD,93917,3376,97293,3.47
155,Bowman,QLD,92954,3336,96290,3.46
223,La Trobe,VIC,95866,3399,99265,3.42
186,Kingston,SA,95095,3345,98440,3.4
305,Hasluck,WA,83211,2884,86095,3.35
207,Corangamite,VIC,101208,3478,104686,3.32
220,Jagajaga,VIC,92862,3130,95992,3.26
185,Hindmarsh,SA,100105,3325,103430,3.21
247,Swan,WA,83100,2746,85846,3.2
134,Mitchell,NSW,93531,3055,96586,3.16
205,Chisholm,VIC,87447,2838,90285,3.14
245,Perth,WA,85562,2772,88334,3.14
307,Solomon,NT,57000,1849,58849,3.14
121,Grayndler,NSW,92786,3000,95786,3.13
157,Capricornia,QLD,89065,2865,91930,3.12
195,Franklin,TAS,70216,2249,72465,3.1
173,Moreton,QLD,86424,2737,89161,3.07
194,Denison,TAS,66893,2108,69001,3.06
252,Dickson,QLD,91690,2889,94579,3.05
164,Groom,QLD,92084,2868,94952,3.02
209,Deakin,VIC,90788,2804,93592,3
190,Sturt,SA,94640,2920,97560,2.99
311,Flynn,QLD,90639,2683,93322,2.87
106,Berowra,NSW,96129,2819,98948,2.85
170,Maranoa,QLD,92990,2718,95708,2.84
214,Goldstein,VIC,94266,2641,96907,2.73
169,Lilley,QLD,95588,2640,98228,2.69
310,Bonner,QLD,90759,2489,93248,2.67
149,Sydney,NSW,92677,2545,95222,2.67
230,Melbourne Ports,VIC,87080,2377,89457,2.66
242,Moore,WA,89071,2432,91503,2.66
151,Warringah,NSW,90669,2471,93140,2.65
137,North Sydney,NSW,95479,2564,98043,2.62
108,Bradfield,NSW,95426,2521,97947,2.57
179,Adelaide,SA,97375,2543,99918,2.55
188,Mayo,SA,95749,2504,98253,2.55
152,Wentworth,NSW,86997,2186,89183,2.45
228,Melbourne,VIC,96863,2412,99275,2.43
