pp,region,subregion
Allenstown,Rockhampton,Rocky - south
Alligator Creek,Sarina,Sarina
Bakers Creek,Sarina,Mackay
Berserker,Rockhampton,Rocky - north
BLV Capricornia PPVC,Other,Other
Carmila,Sarina,Rural
Cawarral,Coast,Coast
Chelona,Sarina,Pioneer
Clermont,Mining,Mining
Clermont PPVC,Mining,Mining
Collinsville,Mining,Mining
Divisional Office (PREPOLL),Rockhampton,Rocky - south
Dysart,Mining,Mining
Emmaus College,Rockhampton,Rocky - north
Emu Park,Coast,Coast
Eton,Sarina,Pioneer
Farnborough,Coast,Coast
Finch Hatton,Sarina,Pioneer
Frenchville,Coast,Coast
Glenden,Mining,Mining
Glenmore,Rockhampton,Rocky - north
Homebush,Sarina,Pioneer
Keppel Sands,Coast,Coast
Koumala,Sarina,Rural
Lakes Creek,Rockhampton,Rocky - north
Mackay CAPRICORNIA PPVC,Sarina,Mackay
Marian,Sarina,Pioneer
Middlemount,Mining,Mining
Mirani,Sarina,Pioneer
Moranbah Central,Mining,Mining
Moranbah Election Day PPVC,Mining,Mining
Moranbah PPVC,Mining,Mining
Mount Archer,Rockhampton,Rocky - north
Nebo,Mining,Mining
Norman Gardens,Rockhampton,Rocky - north
North Rockhampton,Rockhampton,Rocky - north
Ooralea,Sarina,Mackay
Park Avenue,Rockhampton,Rocky - north
Parkhurst,Rockhampton,Rocky - north
Rockhampton CAPRICORNIA PPVC,Rockhampton,Rocky - south
Rockhampton City,Rockhampton,Rocky - south
Rockhampton Northside PPVC,Rockhampton,Rocky - north
Rockhampton Range,Rockhampton,Rocky - south
Rockhampton South,Rockhampton,Rocky - south
Sarina Central,Sarina,Sarina
Sarina Election Day PPVC,Sarina,Sarina
Sarina PPVC,Sarina,Sarina
Special Hospital Team 1,Other,Other
Special Hospital Team 2,Other,Other
Special Hospital Team 3,Other,Other
Special Hospital Team 4,Other,Other
Swayneville,Sarina,Rural
Taranganba,Coast,Coast
The Caves,Coast,Rural
Walkerston,Sarina,Pioneer
West Rockhampton,Rockhampton,Rocky - south
Yeppoon,Coast,Coast
Yeppoon North,Coast,Coast
Yeppoon PPVC,Coast,Coast
Allenstown (Capricornia),Rockhampton,Rocky - south
Armstrong Beach,Sarina,Sarina
Brisbane City (Capricornia),Other,Other
Chelona (Capricornia),Sarina,Pioneer
Collinsville PPVC,Mining,Mining
Coppabella PPVC,Mining,Mining
Dysart PPVC,Mining,Mining
Eungella,Sarina,Pioneer
Gargett,Sarina,Pioneer
Middlemount Interstate PPVC,Mining,Mining
Rockhampton South (Capricornia),Rockhampton,Rocky - south
Sarina Interstate PPVC,Sarina,Sarina
Special Hospital Team 5,Other,Other
Yeppoon Interstate PPVC,Coast,Coast
Applegarth,Rockhampton,Rocky - south
Barmaryee,Coast,Coast
Burnett Street,Rockhampton,Rocky - north
Clermont Interstate PPVC,Mining,Mining
Collinsville Interstate PPVC,Mining,Mining
Coppabella,Mining,Mining
Coppabella Interstate PPVC,Mining,Mining
Coppabella Mac Camp PPVC,Mining,Mining
Crescent Lagoon,Rockhampton,Rocky - south
Depot Hill,Mining,Rocky - south
Dysart Interstate PPVC,Mining,Mining
Dysart Mac Camp PPVC,Mining,Mining
Koongal,Rockhampton,Rocky - north
Marlborough,Sarina,Rural
Moranbah,Mining,Mining
Moranbah West,Mining,Mining
Nebo Interstate PPVC,Mining,Mining
Nebo Mac Camp PPVC,Mining,Mining
Norman Road,Rockhampton,Rocky - north
North Eton,Sarina,Pioneer
Port Curtis,Rockhampton,Rocky - south
Racecourse,Mackay,Mackay
Rockhampton Central,Rockhampton,Rocky - south
Rockhampton High School,Rockhampton,Rocky - south
Sarina Beach,Sarina,Sarina
Sarina East,Sarina,Sarina
Sarina Range,Sarina,Sarina
St Brendan's College,Coast,Coast
St Lawrence,Sarina,Rural
Wandal,Rockhampton,Rocky - south
Yaamba,Rockhampton,Rural
Rockhampton PPVC,Rockhampton,Rocky - south
Special Hospital Team 6,Other,Other
Archer Park,Rockhampton,Rocky - south
Bajool,Rockhampton,Rural
Baree,Rockhampton,Rural
Bouldercombe,Rockhampton,Rural
Eton North,Sarina,Pioneer
Gracemere,Rockhampton,Rocky - south
Mount Morgan,Rockhampton,Rural
Walkerston (Capricornia),Sarina,Pioneer
