pp,region,subregion
Andergrove,Mackay,
Andergrove South,Mackay,
Annandale (Dawson),Townsville/Burdekin,
Annandale East (Dawson),Townsville/Burdekin,
Ayr,Townsville/Burdekin,
Ayr East,Townsville/Burdekin,
Ayr PPVC,Townsville/Burdekin,
Beaconsfield,Mackay,
Bloomsbury,Rural,
BLV Dawson PPVC,Mackay,
Bowen,Rural,
Bowen PPVC,Rural,
Brandon,Townsville/Burdekin,
Bucasia,Mackay,
Calen,Rural,
Cannonvale,Rural,
Cannonvale Election Day Only PPVC,Rural,
Coningsby,Rural,
Cungulla,Townsville/Burdekin,
Divisional Office (PREPOLL),Mackay,
Eimeo,Mackay,
Farleigh,Rural,
Giru,Townsville/Burdekin,
Glenella,Mackay,
Hamilton Island,Rural,
Hamilton Island PPVC,Rural,
Hampden,Rural,
Home Hill,Townsville/Burdekin,burdekin
Hyde Park DAWSON PPVC,Townsville/Burdekin,townsville
Jarvisfield,Townsville/Burdekin,burdekin
Kalamia,Townsville/Burdekin,burdekin
Mackay,Mackay,
Mackay DAWSON PPVC,Mackay,
Mackay Election Day Only PPVC,Mackay,
Mackay Goose Ponds,Mackay,
Mackay South,Mackay,
Mackay Town Beach,Mackay,
Mackay West,Mackay,
Merinda,Rural,bowen
Mount Pleasant East,Mackay,
Mount Pleasant West,Mackay,
Nome,Townsville/Burdekin,rural
Oonoonba,Townsville/Burdekin,townsville
Proserpine,Rural,proserpine
Proserpine PPVC,Rural,proserpine
Queens Beach,Rural,bowen
Seaforth,Rural,rural
Slade Point,Mackay,mackay_north
Special Hospital Team 1,other,
Special Hospital Team 2,other,
Special Hospital Team 3,other,
Special Hospital Team 4,other,
Special Hospital Team 5,other,
TFT Range Control ADF DAWSON PPVC,Townsville/Burdekin,townsville
Townsville DAWSON PPVC,Townsville/Burdekin,townsville
Wulguru (Dawson),Townsville/Burdekin,townsville
Airlie Beach,Rural,airlie
Airlie Beach PPVC,Rural,airlie
Bakers Creek,Mackay,mackay_south
Brisbane City (Dawson),other,other
Chelona (Dawson),Mackay,mackay_south
Clare,Townsville/Burdekin,burdekin
Dingo Beach,Rural,rural
Hamilton Island Interstate PPVC,Rural,islands
Osborne,Townsville/Burdekin,burdekin
Rural View,Mackay,mackay_north
Airville,Townsville/Burdekin,burdekin
Ayr Interstate PPVC,Townsville/Burdekin,burdekin
Ayr South,Townsville/Burdekin,burdekin
Bowen Central,Rural,bowen
Bowen Interstate PPVC,Rural,bowen
Bowen North,Rural,bowen
Conway Beach,Rural,rural
Gumlu,Rural,rural
Habana,Rural,rural
Mackay Central,Mackay,
Mackay City Gates,Mackay,
Mackay Cremorne,Mackay,
Mackay East,Mackay,
Mackay North,Mackay,
Mount Ossa,Rural,rural
Proserpine North,Rural,proserpine
Stuart (Dawson),Townsville/Burdekin,townsville
Wulguru,Townsville/Burdekin,townsville
Bowen Hospital,Rural,bowen
Brampton Island PPVC,Rural,islands
Canberra Street,Mackay,mackay_north
Cunningham Home,Rural,bowen
Daydream Island PPVC,Rural,islands
East Mackay,Mackay,
Hayman Island PPVC,Rural,islands
Homefield,Mackay,
Lindeman Island PPVC,Rural,islands
Long Island PPVC,Rural,islands
Mackay PPVC,Mackay,
Proserpine Hospital,Rural,proserpine
South Mackay,Mackay,mackay_south
South Molle PPVC,Rural,islands
Victoria Park,Mackay,mackay_south
Ayr North,Townsville/Burdekin,burdekin
Cannonvale Beach,Rural,airlie
East Ayr,Townsville/Burdekin,burdekin
Emmanuel,Mackay,mackay_north
Fitzgerald,Mackay,mackay_north
Goose Ponds,Mackay,mackay_north
Mackay Hospital,Mackay,
Mackay Mater Hospital,Mackay,
Millaroo,Rural,rural
Mount Julian,Rural,rural
Nebo Road,Mackay,
North Mackay,Mackay,
Ooralea,Mackay,
Parkside,Townsville/Burdekin,burdekin
Pioneer,Rural,
Racecourse,Mackay,mackay_south
Stuart,Townsville/Burdekin,townsville
Walkerston (Dawson),Rural,rural
West Mackay,Mackay,
Woodstock,Rural,rural
