pp,region,subregion
Biggenden,Rural,Burnett
Eidsvold,Rural,Burnett
Gayndah,Rural,Burnett
Gayndah PPVC,Rural,Burnett
Mondure,Rural,Burnett
Monto,Rural,Burnett
Mount Perry,Rural,Burnett
Mulgildie,Rural,Burnett
Mundubbera,Rural,Burnett
Proston,Rural,Burnett
Monto PPVC,Rural,Burnett
Mundubbera PPVC,Rural,Burnett
Emerald,Rural,Emerald
Emerald North,Rural,Emerald
Emerald PPVC,Rural,Emerald
Emerald South,Rural,Emerald
Gindie,Rural,Emerald
Emerald Interstate PPVC,Rural,Emerald
Boyne Island,Gladstone,Gladstone
Boyne Tannum PPVC,Gladstone,Gladstone
Boyne Valley,Gladstone,Gladstone
Chanel,Gladstone,Gladstone
Clinton,Gladstone,Gladstone
Divisional Office (PREPOLL),Gladstone,Gladstone
Gladstone,Gladstone,Gladstone
Gladstone PPVC,Gladstone,Gladstone
Gladstone South,Gladstone,Gladstone
Gladstone West,Gladstone,Gladstone
Kin Kora,Gladstone,Gladstone
Seaview,Gladstone,Gladstone
Tannum Sands,Gladstone,Gladstone
Yarwun,Gladstone,Gladstone
Gladstone Valley,Gladstone,Gladstone
Clinton St John's,Gladstone,Gladstone
Toolooa,Gladstone,Gladstone
Yarroon,Gladstone,Gladstone
Agnes Water,Rural,Greater Gladstone
Agnes Water Election Day PPVC,Rural,Greater Gladstone
Agnes Water PPVC,Rural,Greater Gladstone
Ambrose,Rural,Greater Gladstone
Bajool,Rural,Greater Gladstone
Benaraby,Rural,Greater Gladstone
Bororen,Rural,Greater Gladstone
Calliope,Rural,Greater Gladstone
Miriam Vale,Rural,Greater Gladstone
Mount Larcom,Rural,Greater Gladstone
Agnes Water Interstate PPVC,Rural,Greater Gladstone
Blackwater,Mining,Mining
Blackwater PPVC,Mining,Mining
Bluff,Mining,Mining
Capella,Mining,Mining
Moura,Mining,Mining
Moura PPVC,Mining,Mining
Tieri,Mining,Mining
Blackwater North,Mining,Mining
Blackwater Interstate PPVC,Mining,Mining
Moura Interstate PPVC,Mining,Mining
BLV Flynn PPVC,Other,Other
Special Hospital Team 1,Other,Other
Special Hospital Team 2,Other,Other
Special Hospital Team 3,Other,Other
Special Hospital Team 4,Other,Other
Brisbane City (Flynn),Other,Other
Alton Downs,Rockhampton,Rockhampton
Gracemere,Rockhampton,Rockhampton
Gracemere PPVC,Rockhampton,Rockhampton
Gracemere South,Rockhampton,Rockhampton
Ridgelands,Rockhampton,Rockhampton
Rockhampton FLYNN PPVC,Rockhampton,Rockhampton
Stanwell,Rockhampton,Rockhampton
Allenstown (Flynn),Rockhampton,Rockhampton
Rockhampton South (Flynn),Rockhampton,Rockhampton
Baffle Creek,Rural,Rural
Banana,Rural,Rural
Baralaba,Rural,Rural
Baree,Rural,Rural
Biloela,Rural,Rural
Biloela PPVC,Rural,Rural
Bouldercombe,Rural,Rural
Duaringa,Rural,Rural
Durong,Rural,Rural
Jambin,Rural,Rural
Mount Morgan,Rural,Rural
Rolleston,Rural,Rural
Rosedale,Rural,Rural
Rubyvale,Rural,Rural
Sapphire,Rural,Rural
Springsure,Rural,Rural
Taroom,Rural,Rural
Thangool,Rural,Rural
Theodore,Rural,Rural
Wondai,Rural,Rural
Woorabinda,Rural,Rural
Wowan,Rural,Rural
Yandaran,Rural,Rural
Biloela Interstate PPVC,Rural,Rural
Biloela North,Rural,Rural
Taroom PPVC,Rural,Rural
Ubobo,Rural,Rural
Wartburg,Rural,Rural
Anakie,Rural,Rural
Bancroft,Rural,Rural
Bauhinia Downs,Rural,Rural
Binjour,Rural,Rural
Coalstoun Lakes,Rural,Rural
Comet,Rural,Rural
Dingo,Rural,Rural
Dululu,Rural,Rural
Goovigen,Rural,Rural
Lawgi,Rural,Rural
Lowmead,Rural,Rural
Moonford,Rural,Rural
Taroom Interstate PPVC,Rural,Rural
Westwood,Rural,Rural
Willows Gemfields,Rural,Rural
Alpha,Rural,Rural
Aramac,Rural,Rural
Barcaldine,Rural,Rural
Blackall,Rural,Rural
Guluguba,Rural,Rural
Ilfracombe,Rural,Rural
Isisford,Rural,Rural
Jericho,Rural,Rural
Longreach,Rural,Rural
Muttaburra,Rural,Rural
Tambo,Rural,Rural
Wandoan,Rural,Rural
Winton,Rural,Rural
Avondale,Rural,Wide Bay
Gooburrum,Rural,Wide Bay
Bullyard,Rural,Wide Bay
Bundaberg Central FLYNN PPVC,Rural,Wide Bay
Bundaberg FLYNN PPVC,Rural,Wide Bay
Bundaberg North West (Flynn),Rural,Wide Bay
Bundaberg West FLYNN PPVC,Rural,Wide Bay
Gin Gin,Rural,Wide Bay
Moore Park,Rural,Wide Bay
Oakwood,Rural,Wide Bay
Sharon,Rural,Wide Bay
South Kolan,Rural,Wide Bay
Wallaville,Rural,Wide Bay
Gin Gin Interstate PPVC,Rural,Wide Bay
