Election,ALP,LP,NP,CLP,DLP,DEM,GRN,ON,Others,SLP,SNP
1919,26,37,2,,,,,,10,35,0
1922,30,26,14,,,,,,6,24,0
1925,24,37,14,,,,,,1,24,4
1928,32,29,13,,,,,,2,25,4
1929,47,14,10,,,,,,5,25,4
1931,15,34,16,,,,,,11,22,4
1934,18,27,12,,,,,,18,26,7
1937,29,28,12,,,,,,6,16,4
1940,32,23,10,,,,,,10,16,3
1943,49,12,8,,,,,,6,12,2
1946,43,15,12,,,,,,5,2,1
1949,48,55,19,,,,,,1,21,5
1951,54,52,17,,,,,,,26,6
1954,59,47,17,,,,,,,26,5
1955,49,57,18,,,,,,,24,6
1958,47,58,19,,,,,,,25,7
1961,62,45,17,,,,,,,24,6
1963,52,52,20,,,,,,,23,7
1966,41,61,21,,,,,,1,21,7
1969,59,46,20,,,,,,,21,7
1972,67,38,20,,,,,,,21,5
1974,66,40,21,,,,,,,23,6
1975,36,68,22,1,,,,,,27,8
1977,38,67,18,1,,,,,,29,6
1980,51,54,19,1,,,,,,27,4
1983,75,33,17,,,,,,,23,5
1984,82,44,21,1,,,,,,27,6
1987,86,43,19,,,,,,,27,7
1990,78,55,14,,,,,,1,29,5
1993,80,49,16,,,,,,2,30,6
1996,49,75,18,1,,,,,5,31,6
1998,67,64,16,,,,,,1,31,4
2001,65,68,13,1,,,,,3,31,4
2004,60,74,12,1,,,,,3,33,5
2007,83,55,10,,,,,,2,32,5
2010,72,60,12,1,,,1,,4,28,6
2013,55,74,15,1,,,1,,4,27,6
2016,69,60,16,,,,1,,4,24,6
2019,,62,16,,,,,,,29,5
