party_n,lab
AUP,AUP
IND,Independent
GAP,GAP
LDP,Liberal Democrats
UAPP,Palmer
LP,Liberal
ALP,Labor
GRN,Greens
NA,NA
AJP,Animal Justice
CDP,CDP
ON,One Nation
FUT,FUT
SPP,SPP
ASP,ASP
NP,Nationals
FACN,FACN
NCP,NCP
ABFA,ABFA
SEP,SEP
AFN,AFN
AWP,AWP
IMO,IMO
RUA,RUA
CLP,Country Liberals
LNP,LNP
DLP,DLP
SAL,SAL
KAP,Katter
LAOL,LAOL
NAFD,NAFD
AUD,AUD
XEN,Xenophon
CPP,CPP
CEC,CEC
VNS,VNS
DHJP,DHJP
REAS,REAS
AUC,AUC
WAP,WAP
FLUX,FLUX
BTA,BTA
FFP,Family First
SOL,SOL
PIR,PIR
TAP,TAP
ALA,ALA
ADVP,ADVP
MAP,MAP
SMK,SMK
DRF,DRF
ASXP,ASXP
CYC,CYC
REP,REP
CM,CM
AAPP,AAPP
HMP,HMP
GLT,GLT
PUP,Palmer
CRNT,CRNT
ARF,ARF
AEQ,AEQ
CYA,CYA
VEP,VEP
ODR,ODR
SPA,SPA
DEM,DEM
VCE,VCE
AIN,AIN
FNPP,FNPP
UNP,UNP
APP,APP
SPRT,SPRT
CA,CA
TCS,TCS
BAP,BAP
CAL,CAL
LNQ,LNP
CCC,CCC
CCE,CCE
FPY,FPY
WWW,WWW
NAT,Nationals
