pp,region
Andergrove,mackay_north
Andergrove South,mackay_north
Annandale (Dawson),townsville
Annandale East (Dawson),townsville
Ayr,burdekin
Ayr East,burdekin
Ayr PPVC,burdekin
Beaconsfield,burdekin
Bloomsbury,burdekin
BLV Dawson PPVC,burdekin
Bowen,burdekin
Bowen PPVC,burdekin
Brandon,burdekin
Bucasia,burdekin
Calen,burdekin
Cannonvale,burdekin
Cannonvale Election Day Only PPVC,burdekin
Coningsby,burdekin
Cungulla,burdekin
Divisional Office (PREPOLL),burdekin
Eimeo,burdekin
Farleigh,burdekin
Giru,burdekin
Glenella,burdekin
Hamilton Island,burdekin
Hamilton Island PPVC,burdekin
Hampden,mackay_north
Home Hill,mackay_north
Hyde Park DAWSON PPVC,mackay_north
Jarvisfield,mackay_north
Kalamia,mackay_north
Mackay,mackay_north
Mackay DAWSON PPVC,mackay_north
Mackay Election Day Only PPVC,mackay_north
Mackay Goose Ponds,mackay_north
Mackay South,mackay_north
Mackay Town Beach,mackay_north
Mackay West,mackay_north
Merinda,mackay_north
Mount Pleasant East,mackay_north
Mount Pleasant West,mackay_north
Nome,mackay_north
Oonoonba,mackay_north
Proserpine,mackay_north
Proserpine PPVC,mackay_north
Queens Beach,mackay_north
Seaforth,mackay_south
Slade Point,mackay_south
Special Hospital Team 1,mackay_south
Special Hospital Team 2,mackay_south
Special Hospital Team 3,mackay_south
Special Hospital Team 4,mackay_south
Special Hospital Team 5,mackay_south
TFT Range Control ADF DAWSON PPVC,mackay_south
Townsville DAWSON PPVC,mackay_south
Wulguru (Dawson),mackay_south
Airlie Beach,mackay_south
Airlie Beach PPVC,mackay_south
Bakers Creek,mackay_south
Brisbane City (Dawson),mackay_south
Chelona (Dawson),mackay_south
Clare,mackay_south
Dingo Beach,mackay_south
Hamilton Island Interstate PPVC,mackay_south
Osborne,mackay_south
Rural View,mackay_south
Airville,mackay_south
Ayr Interstate PPVC,mackay_south
Ayr South,mackay_south
Bowen Central,mackay_south
Bowen Interstate PPVC,mackay_south
Bowen North,mackay_south
Conway Beach,townsville
Gumlu,townsville
Habana,townsville
Mackay Central,townsville
Mackay City Gates,townsville
Mackay Cremorne,townsville
Mackay East,townsville
Mackay North,townsville
Mount Ossa,townsville
Proserpine North,townsville
Stuart (Dawson),townsville
Wulguru,townsville
Bowen Hospital,townsville
Brampton Island PPVC,townsville
Canberra Street,townsville
Cunningham Home,townsville
Daydream Island PPVC,townsville
East Mackay,townsville
Hayman Island PPVC,townsville
Homefield,townsville
Lindeman Island PPVC,townsville
Long Island PPVC,townsville
Mackay PPVC,townsville
Proserpine Hospital,townsville
South Mackay,townsville
South Molle PPVC,townsville
Victoria Park,townsville
Ayr North,townsville
Cannonvale Beach,townsville
East Ayr,townsville
Emmanuel,townsville
Fitzgerald,townsville
Goose Ponds,townsville
Mackay Hospital,townsville
Mackay Mater Hospital,townsville
Millaroo,townsville
Mount Julian,townsville
Nebo Road,townsville
North Mackay,townsville
Ooralea,townsville
Parkside,townsville
Pioneer,townsville
Racecourse,townsville
Stuart,townsville
Walkerston (Dawson),townsville
West Mackay,townsville
Woodstock,townsville
